index,length,token_count,unique_words,type_token_ratio,Flesch_Reading_ease_score,average_syllables_per_word,average_sentence_length,percentage_monosyllabic_words,percentage_polysyllabic_words
0,184,266,86,0.4673913043478261,81.32675438596495,1.375,12.266666666666667,0.7989130434782609,0.10326086956521739
1,14,20,12,0.8571428571428571,77.81071428571428,1.3571428571428572,14.0,0.6428571428571429,0.0
2,63,77,45,0.7142857142857143,47.70666666666668,1.6507936507936507,21.0,0.6507936507936508,0.1746031746031746
3,83,109,53,0.6385542168674698,74.60310975609757,1.3012048192771084,20.75,0.7831325301204819,0.08433734939759036
4,75,107,54,0.72,27.984561688311715,1.9333333333333333,18.75,0.52,0.25333333333333335
5,54,83,43,0.7962962962962963,51.73966666666669,1.7037037037037037,10.8,0.5925925925925926,0.2037037037037037
6,326,437,179,0.549079754601227,45.50714285714287,1.6687116564417177,15.523809523809524,0.5337423312883436,0.18404907975460122
7,26,38,24,0.9230769230769231,35.5107142857143,2.0,13.0,0.6153846153846154,0.23076923076923078
8,20,33,20,1.0,53.4698245614035,1.65,6.666666666666667,0.55,0.25
9,177,246,101,0.5706214689265536,53.379825174825214,1.6610169491525424,16.09090909090909,0.6271186440677966,0.1694915254237288
10,72,114,51,0.7083333333333334,50.4016609589041,1.6527777777777777,18.0,0.6111111111111112,0.18055555555555555
11,34,59,27,0.7941176470588235,69.8142307692308,1.0,34.0,0.5588235294117647,0.029411764705882353
12,80,135,45,0.5625,80.89987179487183,1.35,8.88888888888889,0.6875,0.0375
13,86,118,59,0.686046511627907,60.81537931034484,1.5348837209302326,17.2,0.6744186046511628,0.10465116279069768
14,21,40,17,0.8095238095238095,80.09764705882354,1.0476190476190477,21.0,0.5714285714285714,0.0
15,38,75,22,0.5789473684210527,102.36523391812867,1.1842105263157894,4.222222222222222,0.8157894736842105,0.0
16,76,104,56,0.7368421052631579,58.05354054054055,1.5394736842105263,15.2,0.6578947368421053,0.21052631578947367
17,30,48,25,0.8333333333333334,48.978924731182815,1.8,10.0,0.5666666666666667,0.2
18,128,211,67,0.5234375,76.49521064301554,1.3515625,11.636363636363637,0.6875,0.0859375
19,54,99,30,0.5555555555555556,92.64500000000002,1.2777777777777777,6.0,0.7962962962962963,0.05555555555555555
20,84,138,56,0.6666666666666666,70.69045454545456,1.619047619047619,7.636363636363637,0.6666666666666666,0.10714285714285714
21,33,60,23,0.696969696969697,100.72358870967741,1.0909090909090908,8.25,0.7878787878787878,0.0
22,171,251,110,0.6432748538011696,64.58717213114755,1.631578947368421,12.214285714285714,0.7076023391812866,0.14619883040935672
23,13,20,11,0.8461538461538461,83.85357142857143,1.3846153846153846,13.0,0.7692307692307693,0.0
24,34,54,29,0.8529411764705882,54.79904761904763,1.7058823529411764,11.333333333333334,0.5588235294117647,0.14705882352941177
25,113,181,60,0.5309734513274337,85.86833241150443,1.345132743362832,7.0625,0.7345132743362832,0.07079646017699115
26,85,148,49,0.5764705882352941,80.37023076923079,1.2,17.0,0.6941176470588235,0.03529411764705882
27,226,319,127,0.5619469026548672,42.58716814159294,1.747787610619469,16.142857142857142,0.5973451327433629,0.24778761061946902
