index,length,token_count,unique_words,type_token_ratio,Flesch_Reading_ease_score,average_syllables_per_word,average_sentence_length,percentage_monosyllabic_words,percentage_polysyllabic_words
0,49,66,37,0.7551020408163265,15.35250000000002,1.653061224489796,49.0,0.5102040816326531,0.20408163265306123
1,60,87,47,0.7833333333333333,49.20000000000002,1.6833333333333333,15.0,0.6166666666666667,0.23333333333333334
2,39,52,34,0.8717948717948718,33.33481707317074,1.8974358974358974,19.5,0.48717948717948717,0.20512820512820512
3,47,68,41,0.8723404255319149,27.584090909090946,1.4893617021276595,47.0,0.5106382978723404,0.10638297872340426
4,33,50,28,0.8484848484848485,25.519117647058835,1.7878787878787878,33.0,0.5151515151515151,0.21212121212121213
5,45,63,39,0.8666666666666667,37.357500000000016,1.7333333333333334,22.5,0.4888888888888889,0.17777777777777778
6,28,41,24,0.8571428571428571,36.40785714285718,1.6785714285714286,28.0,0.5,0.17857142857142858
7,37,63,34,0.918918918918919,67.11652027027029,1.5405405405405406,9.25,0.5945945945945946,0.13513513513513514
8,51,77,42,0.8235294117647058,7.189000000000021,1.7254901960784315,51.0,0.5686274509803921,0.19607843137254902
9,43,59,39,0.9069767441860465,59.91750000000002,1.5348837209302326,21.5,0.6046511627906976,0.046511627906976744
10,35,59,30,0.8571428571428571,42.93676470588238,1.4857142857142858,35.0,0.6,0.14285714285714285
11,43,68,40,0.9302325581395349,68.33782945736438,1.4651162790697674,14.333333333333334,0.627906976744186,0.09302325581395349
12,31,53,23,0.7419354838709677,24.03875000000002,2.032258064516129,15.5,0.5806451612903226,0.3225806451612903
13,46,67,40,0.8695652173913043,13.330000000000013,1.7608695652173914,46.0,0.5652173913043478,0.17391304347826086
14,38,59,30,0.7894736842105263,49.2678070175439,1.7105263157894737,12.666666666666666,0.5526315789473685,0.23684210526315788
15,44,61,32,0.7272727272727273,22.04000000000005,1.6818181818181819,44.0,0.6363636363636364,0.18181818181818182
16,40,61,36,0.9,37.46164634146342,1.8,20.0,0.5,0.15
17,34,53,30,0.8823529411764706,20.542647058823547,1.7941176470588236,34.0,0.5588235294117647,0.20588235294117646
18,21,40,18,0.8571428571428571,12.291428571428611,2.0476190476190474,21.0,0.47619047619047616,0.2857142857142857
19,47,68,43,0.9148936170212766,39.712500000000034,1.7234042553191489,23.5,0.574468085106383,0.1702127659574468
20,47,75,36,0.7659574468085106,6.1299999999999955,1.8085106382978724,47.0,0.574468085106383,0.2765957446808511
21,28,38,23,0.8214285714285714,45.4721428571429,1.5714285714285714,28.0,0.5,0.07142857142857142
22,45,62,40,0.8888888888888888,22.330000000000013,1.6888888888888889,45.0,0.5555555555555556,0.1111111111111111
23,41,63,36,0.8780487804878049,27.43651162790698,1.6829268292682926,41.0,0.6097560975609756,0.14634146341463414
24,62,100,45,0.7258064516129032,78.71223728813561,1.3064516129032258,12.4,0.6935483870967742,0.08064516129032258
25,34,48,30,0.8823529411764706,23.864285714285728,1.7941176470588236,34.0,0.5,0.20588235294117646
26,47,65,41,0.8723404255319149,41.11750000000001,1.6170212765957446,23.5,0.5106382978723404,0.1702127659574468
27,40,60,35,0.875,64.66285714285716,1.5,20.0,0.675,0.075
28,30,57,28,0.9333333333333333,77.60941176470591,1.5,15.0,0.8,0.03333333333333333
29,41,59,37,0.9024390243902439,56.15750000000001,1.6585365853658536,20.5,0.6585365853658537,0.07317073170731707
30,31,63,31,1.0,46.45041666666668,1.5806451612903225,7.75,0.41935483870967744,0.12903225806451613
31,35,57,24,0.6857142857142857,48.04394736842107,1.542857142857143,35.0,0.7142857142857143,0.05714285714285714
32,33,53,30,0.9090909090909091,32.34,1.6666666666666667,33.0,0.5151515151515151,0.12121212121212122
33,42,64,33,0.7857142857142857,56.03237804878049,1.5,21.0,0.5238095238095238,0.07142857142857142
34,35,50,28,0.8,28.007352941176492,1.6571428571428573,35.0,0.4857142857142857,0.2
35,63,97,42,0.6666666666666666,53.92806451612904,1.4126984126984128,31.5,0.6507936507936508,0.07936507936507936
36,46,64,38,0.8260869565217391,47.819492753623194,1.6956521739130435,15.333333333333334,0.5,0.15217391304347827
37,37,61,33,0.8918918918918919,44.405,1.945945945945946,9.25,0.5945945945945946,0.1891891891891892
38,71,90,58,0.8169014084507042,35.72184782608696,1.5633802816901408,35.5,0.5633802816901409,0.1267605633802817
39,34,48,24,0.7058823529411765,77.28750000000002,1.2941176470588236,17.0,0.7352941176470589,0.08823529411764706
40,34,49,31,0.9117647058823529,50.40147058823533,1.4411764705882353,34.0,0.6176470588235294,0.058823529411764705
41,44,59,34,0.7727272727272727,22.04000000000005,1.6818181818181819,44.0,0.5909090909090909,0.22727272727272727
42,23,33,22,0.9565217391304348,34.532272727272726,1.6956521739130435,23.0,0.30434782608695654,0.08695652173913043
43,42,57,33,0.7857142857142857,2.2102439024390605,1.880952380952381,42.0,0.42857142857142855,0.2857142857142857
44,29,40,24,0.8275862068965517,19.868965517241406,1.8620689655172413,29.0,0.4482758620689655,0.20689655172413793
45,41,58,36,0.8780487804878049,22.844390243902467,1.6829268292682926,41.0,0.5365853658536586,0.14634146341463414
46,51,65,43,0.8431372549019608,37.645000000000024,1.3725490196078431,51.0,0.6470588235294118,0.058823529411764705
47,42,62,38,0.9047619047619048,42.505714285714305,1.6904761904761905,21.0,0.5952380952380952,0.21428571428571427
48,37,48,29,0.7837837837837838,26.28142857142859,1.6216216216216217,37.0,0.5135135135135135,0.16216216216216217
49,28,39,24,0.8571428571428571,21.30071428571432,1.8571428571428572,28.0,0.39285714285714285,0.21428571428571427
50,25,35,23,0.92,45.00000000000003,1.56,25.0,0.48,0.12
51,27,43,21,0.7777777777777778,16.496666666666698,1.9259259259259258,27.0,0.37037037037037035,0.2962962962962963
52,36,49,34,0.9444444444444444,25.23135135135138,1.75,36.0,0.5555555555555556,0.16666666666666666
53,29,43,23,0.7931034482758621,38.20500000000004,1.6896551724137931,29.0,0.5517241379310345,0.10344827586206896
54,38,55,35,0.9210526315789473,73.97597972972976,1.4210526315789473,9.5,0.6578947368421053,0.13157894736842105
55,47,76,37,0.7872340425531915,25.930000000000007,1.574468085106383,47.0,0.5106382978723404,0.0851063829787234
56,30,52,25,0.8333333333333334,53.430000000000035,1.6333333333333333,15.0,0.5,0.13333333333333333
57,52,74,45,0.8653846153846154,39.952500000000015,1.6346153846153846,26.0,0.5576923076923077,0.17307692307692307
58,38,58,33,0.868421052631579,59.315000000000026,1.4473684210526316,19.0,0.631578947368421,0.13157894736842105
59,40,54,32,0.8,32.99000000000004,1.575,40.0,0.525,0.075
60,28,46,27,0.9642857142857143,16.951724137931052,1.9642857142857142,28.0,0.5357142857142857,0.21428571428571427
61,40,51,34,0.85,41.434615384615384,1.45,40.0,0.6,0.075
62,52,83,39,0.75,55.17192307692311,1.4807692307692308,26.0,0.6346153846153846,0.09615384615384616
63,25,36,22,0.88,40.529615384615425,1.72,25.0,0.48,0.12
64,32,45,28,0.875,10.589705882352973,2.03125,32.0,0.46875,0.25
65,34,53,28,0.8235294117647058,20.887500000000017,1.9411764705882353,17.0,0.3235294117647059,0.2647058823529412
66,42,60,36,0.8571428571428571,55.68227272727273,1.5952380952380953,21.0,0.6428571428571429,0.09523809523809523
67,33,50,28,0.8484848484848485,28.007352941176492,1.7575757575757576,33.0,0.5454545454545454,0.15151515151515152
68,43,62,35,0.813953488372093,59.280151515151545,1.6046511627906976,14.333333333333334,0.5813953488372093,0.11627906976744186
69,38,54,34,0.8947368421052632,25.23135135135138,1.6578947368421053,38.0,0.5263157894736842,0.21052631578947367
70,34,55,30,0.8823529411764706,28.948750000000018,1.6176470588235294,34.0,0.5,0.20588235294117646
71,46,61,38,0.8260869565217391,41.47500000000002,1.7391304347826086,23.0,0.5217391304347826,0.17391304347826086
72,37,54,31,0.8378378378378378,23.554473684210564,1.7567567567567568,37.0,0.5135135135135135,0.13513513513513514
73,22,37,22,1.0,38.37772727272727,1.7272727272727273,22.0,0.45454545454545453,0.09090909090909091
74,48,65,38,0.7916666666666666,29.185000000000016,1.5625,48.0,0.6666666666666666,0.10416666666666667
75,38,64,33,0.868421052631579,41.70403846153849,1.763157894736842,19.0,0.5,0.18421052631578946
76,26,53,24,0.9230769230769231,45.4721428571429,1.6923076923076923,26.0,0.6153846153846154,0.15384615384615385
