dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,0.7,0.8,792,427,1019,497,768,15995,2
IMDb-1k,train,73,0.7,0.8,788,362,1052,487,768,15352,2
IMDb-1k,train,374,0.7,0.8,805,419,1042,505,768,15760,2
IMDb-1k,train,155,0.7,0.8,787,336,1017,479,768,15117,2
IMDb-1k,train,104,0.7,0.8,948,490,1352,616,768,18935,2
IMDb-1k,train,394,0.7,0.8,940,478,1368,601,768,18602,2
IMDb-1k,train,377,0.7,0.8,1141,567,1569,683,768,22875,2
IMDb-1k,train,124,0.7,0.8,973,428,1325,619,768,19320,2
IMDb-1k,train,68,0.7,0.8,934,428,1228,531,768,18188,2
IMDb-1k,train,450,0.7,0.8,1294,571,1713,753,768,24630,2
IMDb-1k,train,9,0.7,0.8,875,430,1141,517,768,16442,2
IMDb-1k,train,194,0.7,0.8,938,517,1320,563,768,17800,2
IMDb-1k,train,406,0.7,0.8,935,363,1204,495,768,15935,2
IMDb-1k,train,84,0.7,0.8,779,308,987,508,768,15126,2
IMDb-1k,train,371,0.7,0.8,768,399,1058,445,768,13531,2
IMDb-1k,train,388,0.7,0.8,1645,603,2166,958,768,31215,2
IMDb-1k,train,495,0.7,0.8,860,394,1141,482,768,14409,2
IMDb-1k,train,30,0.7,0.8,787,386,1003,460,768,13784,2
IMDb-1k,train,316,0.7,0.8,930,429,1309,594,768,17345,2
IMDb-1k,train,408,0.7,0.8,937,504,1293,587,768,18850,2
IMDb-1k,train,490,0.7,0.8,918,426,1251,578,768,18770,2
IMDb-1k,train,491,0.7,0.8,948,524,1223,547,768,18981,2
IMDb-1k,train,280,0.7,0.8,850,422,1121,475,768,15644,2
IMDb-1k,train,356,0.7,0.8,885,400,1112,485,768,15734,2
IMDb-1k,train,76,0.7,0.8,792,418,1034,468,768,14757,2
IMDb-1k,train,461,0.7,0.8,901,414,1189,485,768,15380,2
IMDb-1k,train,497,0.7,0.8,896,476,1290,531,768,16119,2
IMDb-1k,train,211,0.7,0.8,976,462,1311,609,768,19666,2
IMDb-1k,train,101,0.7,0.8,762,405,1067,483,768,14565,2
IMDb-1k,train,334,0.7,0.8,976,486,1402,607,768,19293,2
IMDb-1k,train,475,0.7,0.8,804,418,1064,485,768,15047,2
IMDb-1k,train,336,0.7,0.8,883,376,1109,518,768,16525,2
IMDb-1k,train,440,0.7,0.8,845,420,1147,465,768,14955,2
IMDb-1k,train,173,0.7,0.8,949,429,1203,520,768,17478,2
IMDb-1k,train,2,0.7,0.8,857,444,1105,475,768,15119,2
IMDb-1k,train,333,0.7,0.8,908,419,1268,512,768,17222,2
IMDb-1k,train,409,0.7,0.8,952,508,1251,529,768,18053,2
IMDb-1k,train,70,0.7,0.8,1541,649,2123,928,768,28449,2
IMDb-1k,train,209,0.7,0.8,892,430,1165,492,768,15884,2
IMDb-1k,train,63,0.7,0.8,953,507,1356,647,768,20204,2
IMDb-1k,train,384,0.7,0.8,827,382,1071,485,768,15246,2
IMDb-1k,train,93,0.7,0.8,960,445,1247,549,768,18263,2
