dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,0.8,0.8,792,427,1019,361,768,7695,2
IMDb-1k,train,73,0.8,0.8,788,362,1052,348,768,7268,2
IMDb-1k,train,374,0.8,0.8,805,419,1042,372,768,7658,2
IMDb-1k,train,155,0.8,0.8,787,336,1017,360,768,7355,2
IMDb-1k,train,104,0.8,0.8,948,490,1352,443,768,9073,2
IMDb-1k,train,394,0.8,0.8,940,478,1368,414,768,8737,2
IMDb-1k,train,377,0.8,0.8,1141,567,1569,491,768,10830,2
IMDb-1k,train,124,0.8,0.8,973,428,1325,430,768,9099,2
IMDb-1k,train,68,0.8,0.8,934,428,1228,381,768,8771,2
IMDb-1k,train,450,0.8,0.8,1294,571,1713,530,768,11657,2
IMDb-1k,train,9,0.8,0.8,875,430,1141,371,768,7902,2
IMDb-1k,train,194,0.8,0.8,938,517,1320,393,768,8290,2
IMDb-1k,train,406,0.8,0.8,935,363,1204,351,768,7602,2
IMDb-1k,train,84,0.8,0.8,779,308,987,370,768,7314,2
IMDb-1k,train,371,0.8,0.8,768,399,1058,320,768,6505,2
IMDb-1k,train,388,0.8,0.8,1645,603,2166,678,768,14941,2
IMDb-1k,train,495,0.8,0.8,860,394,1141,345,768,6944,2
IMDb-1k,train,30,0.8,0.8,787,386,1003,331,768,6637,2
IMDb-1k,train,316,0.8,0.8,930,429,1309,431,768,8425,2
IMDb-1k,train,408,0.8,0.8,937,504,1293,414,768,8824,2
IMDb-1k,train,490,0.8,0.8,918,426,1251,421,768,9025,2
IMDb-1k,train,491,0.8,0.8,948,524,1223,396,768,9168,2
IMDb-1k,train,280,0.8,0.8,850,422,1121,336,768,7467,2
IMDb-1k,train,356,0.8,0.8,885,400,1112,346,768,7552,2
IMDb-1k,train,76,0.8,0.8,792,418,1034,324,768,6894,2
IMDb-1k,train,461,0.8,0.8,901,414,1189,346,768,7304,2
IMDb-1k,train,497,0.8,0.8,896,476,1290,362,768,7494,2
IMDb-1k,train,211,0.8,0.8,976,462,1311,435,768,9397,2
IMDb-1k,train,101,0.8,0.8,762,405,1067,342,768,6917,2
IMDb-1k,train,334,0.8,0.8,976,486,1402,432,768,9258,2
IMDb-1k,train,475,0.8,0.8,804,418,1064,347,768,7217,2
IMDb-1k,train,336,0.8,0.8,883,376,1109,384,768,8052,2
IMDb-1k,train,440,0.8,0.8,845,420,1147,335,768,7212,2
IMDb-1k,train,173,0.8,0.8,949,429,1203,384,768,8577,2
IMDb-1k,train,2,0.8,0.8,857,444,1105,340,768,7381,2
