dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,0.8,0.5,792,427,1019,361,768,17923,2
IMDb-1k,train,73,0.8,0.5,788,362,1052,348,768,17093,2
IMDb-1k,train,374,0.8,0.5,805,419,1042,372,768,17977,2
IMDb-1k,train,155,0.8,0.5,787,336,1017,360,768,17353,2
IMDb-1k,train,104,0.8,0.5,948,490,1352,443,768,21187,2
IMDb-1k,train,394,0.8,0.5,940,478,1368,414,768,20222,2
IMDb-1k,train,377,0.8,0.5,1141,567,1569,491,768,25225,2
IMDb-1k,train,124,0.8,0.5,973,428,1325,430,768,21336,2
IMDb-1k,train,68,0.8,0.5,934,428,1228,381,768,20430,2
IMDb-1k,train,450,0.8,0.5,1294,571,1713,530,768,26872,2
IMDb-1k,train,9,0.8,0.5,875,430,1141,371,768,18429,2
IMDb-1k,train,194,0.8,0.5,938,517,1320,393,768,19188,2
IMDb-1k,train,406,0.8,0.5,935,363,1204,351,768,17706,2
IMDb-1k,train,84,0.8,0.5,779,308,987,370,768,17102,2
IMDb-1k,train,371,0.8,0.5,768,399,1058,320,768,15108,2
IMDb-1k,train,388,0.8,0.5,1645,603,2166,678,768,34830,2
IMDb-1k,train,495,0.8,0.5,860,394,1141,345,768,16209,2
IMDb-1k,train,30,0.8,0.5,787,386,1003,331,768,15507,2
IMDb-1k,train,316,0.8,0.5,930,429,1309,431,768,19428,2
IMDb-1k,train,408,0.8,0.5,937,504,1293,414,768,20828,2
IMDb-1k,train,490,0.8,0.5,918,426,1251,421,768,21208,2
IMDb-1k,train,491,0.8,0.5,948,524,1223,396,768,21601,2
IMDb-1k,train,280,0.8,0.5,850,422,1121,336,768,17486,2
IMDb-1k,train,356,0.8,0.5,885,400,1112,346,768,17522,2
IMDb-1k,train,76,0.8,0.5,792,418,1034,324,768,16108,2
IMDb-1k,train,461,0.8,0.5,901,414,1189,346,768,16996,2
IMDb-1k,train,497,0.8,0.5,896,476,1290,362,768,17217,2
IMDb-1k,train,211,0.8,0.5,976,462,1311,435,768,21850,2
IMDb-1k,train,101,0.8,0.5,762,405,1067,342,768,16169,2
IMDb-1k,train,334,0.8,0.5,976,486,1402,432,768,21528,2
IMDb-1k,train,475,0.8,0.5,804,418,1064,347,768,16842,2
IMDb-1k,train,336,0.8,0.5,883,376,1109,384,768,18970,2
IMDb-1k,train,440,0.8,0.5,845,420,1147,335,768,16687,2
IMDb-1k,train,173,0.8,0.5,949,429,1203,384,768,20113,2
IMDb-1k,train,2,0.8,0.5,857,444,1105,340,768,17019,2
IMDb-1k,train,333,0.8,0.5,908,419,1268,363,768,18868,2
IMDb-1k,train,409,0.8,0.5,952,508,1251,368,768,19605,2
IMDb-1k,train,70,0.8,0.5,1541,649,2123,658,768,31643,2
IMDb-1k,train,209,0.8,0.5,892,430,1165,349,768,17523,2
IMDb-1k,train,63,0.8,0.5,953,507,1356,457,768,22431,2
IMDb-1k,train,384,0.8,0.5,827,382,1071,351,768,17087,2
IMDb-1k,train,93,0.8,0.5,960,445,1247,388,768,20057,2
IMDb-1k,train,485,0.8,0.5,790,401,986,325,768,16608,2
IMDb-1k,train,185,0.8,0.5,911,491,1143,372,768,19295,2
IMDb-1k,train,33,0.8,0.5,947,445,1263,396,768,20917,2
IMDb-1k,train,77,0.8,0.5,803,383,1089,342,768,17046,2
IMDb-1k,train,0,0.8,0.5,852,408,1050,325,768,16168,2
IMDb-1k,train,11,0.8,0.5,948,368,1293,418,768,19796,2
IMDb-1k,train,415,0.8,0.5,944,426,1195,396,768,20675,2
IMDb-1k,train,22,0.8,0.5,851,410,1147,349,768,17796,2
IMDb-1k,train,72,0.8,0.5,783,392,1072,350,768,16504,2
IMDb-1k,train,182,0.8,0.5,764,310,928,336,768,16771,2
IMDb-1k,train,131,0.8,0.5,1028,521,1360,420,768,21297,2
IMDb-1k,train,410,0.8,0.5,835,417,1145,349,768,16084,2
IMDb-1k,train,193,0.8,0.5,876,459,1176,341,768,17182,2
IMDb-1k,train,55,0.8,0.5,965,463,1415,423,768,19899,2
IMDb-1k,train,148,0.8,0.5,921,449,1303,389,768,18748,2
IMDb-1k,train,18,0.8,0.5,796,394,1118,335,768,16492,2
IMDb-1k,train,204,0.8,0.5,977,509,1288,435,768,22013,2
IMDb-1k,train,78,0.8,0.5,931,411,1226,365,768,18167,2
IMDb-1k,train,494,0.8,0.5,816,382,1091,343,768,16859,2
IMDb-1k,train,262,0.8,0.5,910,390,1090,327,768,16654,2
IMDb-1k,train,323,0.8,0.5,935,439,1241,387,768,19712,2
IMDb-1k,train,483,0.8,0.5,1161,426,1433,492,768,24392,2
IMDb-1k,train,79,0.8,0.5,884,427,1152,331,768,17119,2
IMDb-1k,train,39,0.8,0.5,753,472,1048,332,768,15993,2
IMDb-1k,train,451,0.8,0.5,891,375,1115,351,768,17839,2
IMDb-1k,train,46,0.8,0.5,806,432,1084,338,768,17056,2
IMDb-1k,train,238,0.8,0.5,1464,632,1974,588,768,30339,2
IMDb-1k,train,391,0.8,0.5,766,399,1083,310,768,14725,2
IMDb-1k,train,352,0.8,0.5,953,475,1279,439,768,21915,2
IMDb-1k,train,341,0.8,0.5,802,393,1081,296,768,14084,2
IMDb-1k,train,277,0.8,0.5,791,338,1033,352,768,17190,2
IMDb-1k,train,290,0.8,0.5,948,507,1303,425,768,20461,2
