dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,0.7,0.9,792,427,1019,497,768,8564,2
IMDb-1k,train,73,0.7,0.9,788,362,1052,487,768,8225,2
IMDb-1k,train,374,0.7,0.9,805,419,1042,505,768,8420,2
IMDb-1k,train,155,0.7,0.9,787,336,1017,479,768,8024,2
IMDb-1k,train,104,0.7,0.9,948,490,1352,616,768,10073,2
IMDb-1k,train,394,0.7,0.9,940,478,1368,601,768,9995,2
IMDb-1k,train,377,0.7,0.9,1141,567,1569,683,768,12108,2
IMDb-1k,train,124,0.7,0.9,973,428,1325,619,768,10318,2
IMDb-1k,train,68,0.7,0.9,934,428,1228,531,768,9780,2
IMDb-1k,train,450,0.7,0.9,1294,571,1713,753,768,13217,2
IMDb-1k,train,9,0.7,0.9,875,430,1141,517,768,8734,2
IMDb-1k,train,194,0.7,0.9,938,517,1320,563,768,9662,2
IMDb-1k,train,406,0.7,0.9,935,363,1204,495,768,8548,2
IMDb-1k,train,84,0.7,0.9,779,308,987,508,768,8114,2
IMDb-1k,train,371,0.7,0.9,768,399,1058,445,768,7322,2
IMDb-1k,train,388,0.7,0.9,1645,603,2166,958,768,16759,2
IMDb-1k,train,495,0.7,0.9,860,394,1141,482,768,7765,2
IMDb-1k,train,30,0.7,0.9,787,386,1003,460,768,7425,2
IMDb-1k,train,316,0.7,0.9,930,429,1309,594,768,9368,2
IMDb-1k,train,408,0.7,0.9,937,504,1293,587,768,10033,2
IMDb-1k,train,490,0.7,0.9,918,426,1251,578,768,10056,2
IMDb-1k,train,491,0.7,0.9,948,524,1223,547,768,10050,2
IMDb-1k,train,280,0.7,0.9,850,422,1121,475,768,8358,2
IMDb-1k,train,356,0.7,0.9,885,400,1112,485,768,8404,2
IMDb-1k,train,76,0.7,0.9,792,418,1034,468,768,7879,2
IMDb-1k,train,461,0.7,0.9,901,414,1189,485,768,8224,2
IMDb-1k,train,497,0.7,0.9,896,476,1290,531,768,8652,2
IMDb-1k,train,211,0.7,0.9,976,462,1311,609,768,10544,2
IMDb-1k,train,101,0.7,0.9,762,405,1067,483,768,7770,2
IMDb-1k,train,334,0.7,0.9,976,486,1402,607,768,10366,2
IMDb-1k,train,475,0.7,0.9,804,418,1064,485,768,8024,2
IMDb-1k,train,336,0.7,0.9,883,376,1109,518,768,8908,2
IMDb-1k,train,440,0.7,0.9,845,420,1147,465,768,8024,2
IMDb-1k,train,173,0.7,0.9,949,429,1203,520,768,9334,2
IMDb-1k,train,2,0.7,0.9,857,444,1105,475,768,8077,2
IMDb-1k,train,333,0.7,0.9,908,419,1268,512,768,9257,2
IMDb-1k,train,409,0.7,0.9,952,508,1251,529,768,9653,2
IMDb-1k,train,70,0.7,0.9,1541,649,2123,928,768,15306,2
IMDb-1k,train,209,0.7,0.9,892,430,1165,492,768,8443,2
IMDb-1k,train,63,0.7,0.9,953,507,1356,647,768,10796,2
IMDb-1k,train,384,0.7,0.9,827,382,1071,485,768,8198,2
IMDb-1k,train,93,0.7,0.9,960,445,1247,549,768,9796,2
IMDb-1k,train,485,0.7,0.9,790,401,986,463,768,8006,2
IMDb-1k,train,185,0.7,0.9,911,491,1143,536,768,9288,2
IMDb-1k,train,33,0.7,0.9,947,445,1263,558,768,9953,2
IMDb-1k,train,77,0.7,0.9,803,383,1089,466,768,7978,2
IMDb-1k,train,0,0.7,0.9,852,408,1050,457,768,7882,2
IMDb-1k,train,11,0.7,0.9,948,368,1293,572,768,9444,2
IMDb-1k,train,415,0.7,0.9,944,426,1195,557,768,9846,2
IMDb-1k,train,22,0.7,0.9,851,410,1147,488,768,8457,2
IMDb-1k,train,72,0.7,0.9,783,392,1072,485,768,7958,2
IMDb-1k,train,182,0.7,0.9,764,310,928,453,768,7910,2
IMDb-1k,train,131,0.7,0.9,1028,521,1360,618,768,10594,2
IMDb-1k,train,410,0.7,0.9,835,417,1145,489,768,7753,2
IMDb-1k,train,193,0.7,0.9,876,459,1176,477,768,8294,2
IMDb-1k,train,55,0.7,0.9,965,463,1415,581,768,9573,2
IMDb-1k,train,148,0.7,0.9,921,449,1303,563,768,9345,2
IMDb-1k,train,18,0.7,0.9,796,394,1118,482,768,8149,2
IMDb-1k,train,204,0.7,0.9,977,509,1288,605,768,10539,2
IMDb-1k,train,78,0.7,0.9,931,411,1226,528,768,8957,2
IMDb-1k,train,494,0.7,0.9,816,382,1091,477,768,7930,2
IMDb-1k,train,262,0.7,0.9,910,390,1090,481,768,8226,2
IMDb-1k,train,323,0.7,0.9,935,439,1241,543,768,9365,2
IMDb-1k,train,483,0.7,0.9,1161,426,1433,677,768,11561,2
IMDb-1k,train,79,0.7,0.9,884,427,1152,465,768,8327,2
IMDb-1k,train,39,0.7,0.9,753,472,1048,477,768,7845,2
IMDb-1k,train,451,0.7,0.9,891,375,1115,488,768,8376,2
IMDb-1k,train,46,0.7,0.9,806,432,1084,480,768,8314,2
IMDb-1k,train,238,0.7,0.9,1464,632,1974,835,768,14817,2
IMDb-1k,train,391,0.7,0.9,766,399,1083,431,768,7069,2
IMDb-1k,train,352,0.7,0.9,953,475,1279,609,768,10362,2
IMDb-1k,train,341,0.7,0.9,802,393,1081,428,768,7018,2
IMDb-1k,train,277,0.7,0.9,791,338,1033,492,768,8313,2
IMDb-1k,train,290,0.7,0.9,948,507,1303,601,768,9896,2
IMDb-1k,train,317,0.7,0.9,899,442,1244,532,768,9592,2
IMDb-1k,train,304,0.7,0.9,914,446,1193,550,768,9436,2
IMDb-1k,train,268,0.7,0.9,816,428,1082,460,768,7644,2
IMDb-1k,train,69,0.7,0.9,734,369,944,415,768,7021,2
