dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,0.7,0.7,792,427,1019,497,768,23317,2
IMDb-1k,train,73,0.7,0.7,788,362,1052,487,768,22483,2
IMDb-1k,train,374,0.7,0.7,805,419,1042,505,768,22964,2
IMDb-1k,train,155,0.7,0.7,787,336,1017,479,768,22108,2
IMDb-1k,train,104,0.7,0.7,948,490,1352,616,768,27616,2
IMDb-1k,train,394,0.7,0.7,940,478,1368,601,768,27041,2
IMDb-1k,train,377,0.7,0.7,1141,567,1569,683,768,33382,2
IMDb-1k,train,124,0.7,0.7,973,428,1325,619,768,28332,2
IMDb-1k,train,68,0.7,0.7,934,428,1228,531,768,26497,2
IMDb-1k,train,450,0.7,0.7,1294,571,1713,753,768,35759,2
IMDb-1k,train,9,0.7,0.7,875,430,1141,517,768,24047,2
IMDb-1k,train,194,0.7,0.7,938,517,1320,563,768,25960,2
IMDb-1k,train,406,0.7,0.7,935,363,1204,495,768,23285,2
IMDb-1k,train,84,0.7,0.7,779,308,987,508,768,22141,2
IMDb-1k,train,371,0.7,0.7,768,399,1058,445,768,19672,2
IMDb-1k,train,388,0.7,0.7,1645,603,2166,958,768,45581,2
IMDb-1k,train,495,0.7,0.7,860,394,1141,482,768,21036,2
IMDb-1k,train,30,0.7,0.7,787,386,1003,460,768,20101,2
IMDb-1k,train,316,0.7,0.7,930,429,1309,594,768,25170,2
IMDb-1k,train,408,0.7,0.7,937,504,1293,587,768,27654,2
IMDb-1k,train,490,0.7,0.7,918,426,1251,578,768,27464,2
IMDb-1k,train,491,0.7,0.7,948,524,1223,547,768,27713,2
IMDb-1k,train,280,0.7,0.7,850,422,1121,475,768,22822,2
IMDb-1k,train,356,0.7,0.7,885,400,1112,485,768,22957,2
IMDb-1k,train,76,0.7,0.7,792,418,1034,468,768,21525,2
IMDb-1k,train,461,0.7,0.7,901,414,1189,485,768,22370,2
IMDb-1k,train,497,0.7,0.7,896,476,1290,531,768,23496,2
IMDb-1k,train,211,0.7,0.7,976,462,1311,609,768,28605,2
IMDb-1k,train,101,0.7,0.7,762,405,1067,483,768,21265,2
IMDb-1k,train,334,0.7,0.7,976,486,1402,607,768,28133,2
IMDb-1k,train,475,0.7,0.7,804,418,1064,485,768,21955,2
IMDb-1k,train,336,0.7,0.7,883,376,1109,518,768,24136,2
IMDb-1k,train,440,0.7,0.7,845,420,1147,465,768,21824,2
IMDb-1k,train,173,0.7,0.7,949,429,1203,520,768,25505,2
IMDb-1k,train,2,0.7,0.7,857,444,1105,475,768,22035,2
IMDb-1k,train,333,0.7,0.7,908,419,1268,512,768,25112,2
IMDb-1k,train,409,0.7,0.7,952,508,1251,529,768,26394,2
IMDb-1k,train,70,0.7,0.7,1541,649,2123,928,768,41426,2
IMDb-1k,train,209,0.7,0.7,892,430,1165,492,768,23203,2
IMDb-1k,train,63,0.7,0.7,953,507,1356,647,768,29568,2
IMDb-1k,train,384,0.7,0.7,827,382,1071,485,768,22190,2
IMDb-1k,train,93,0.7,0.7,960,445,1247,549,768,26621,2
IMDb-1k,train,485,0.7,0.7,790,401,986,463,768,21920,2
IMDb-1k,train,185,0.7,0.7,911,491,1143,536,768,25773,2
IMDb-1k,train,33,0.7,0.7,947,445,1263,558,768,27477,2
IMDb-1k,train,77,0.7,0.7,803,383,1089,466,768,21768,2
IMDb-1k,train,0,0.7,0.7,852,408,1050,457,768,21323,2
IMDb-1k,train,11,0.7,0.7,948,368,1293,572,768,25556,2
IMDb-1k,train,415,0.7,0.7,944,426,1195,557,768,27041,2
IMDb-1k,train,22,0.7,0.7,851,410,1147,488,768,23463,2
IMDb-1k,train,72,0.7,0.7,783,392,1072,485,768,21492,2
IMDb-1k,train,182,0.7,0.7,764,310,928,453,768,21537,2
IMDb-1k,train,131,0.7,0.7,1028,521,1360,618,768,28957,2
IMDb-1k,train,410,0.7,0.7,835,417,1145,489,768,21101,2
IMDb-1k,train,193,0.7,0.7,876,459,1176,477,768,22628,2
IMDb-1k,train,55,0.7,0.7,965,463,1415,581,768,25717,2
IMDb-1k,train,148,0.7,0.7,921,449,1303,563,768,25175,2
IMDb-1k,train,18,0.7,0.7,796,394,1118,482,768,22016,2
IMDb-1k,train,204,0.7,0.7,977,509,1288,605,768,28803,2
IMDb-1k,train,78,0.7,0.7,931,411,1226,528,768,24416,2
IMDb-1k,train,494,0.7,0.7,816,382,1091,477,768,21783,2
IMDb-1k,train,262,0.7,0.7,910,390,1090,481,768,22766,2
IMDb-1k,train,323,0.7,0.7,935,439,1241,543,768,25716,2
IMDb-1k,train,483,0.7,0.7,1161,426,1433,677,768,31454,2
IMDb-1k,train,79,0.7,0.7,884,427,1152,465,768,22515,2
IMDb-1k,train,39,0.7,0.7,753,472,1048,477,768,21485,2
IMDb-1k,train,451,0.7,0.7,891,375,1115,488,768,22946,2
IMDb-1k,train,46,0.7,0.7,806,432,1084,480,768,22619,2
IMDb-1k,train,238,0.7,0.7,1464,632,1974,835,768,40139,2
IMDb-1k,train,391,0.7,0.7,766,399,1083,431,768,19135,2
IMDb-1k,train,352,0.7,0.7,953,475,1279,609,768,28387,2
IMDb-1k,train,341,0.7,0.7,802,393,1081,428,768,18974,2
IMDb-1k,train,277,0.7,0.7,791,338,1033,492,768,22738,2
IMDb-1k,train,290,0.7,0.7,948,507,1303,601,768,26975,2
IMDb-1k,train,317,0.7,0.7,899,442,1244,532,768,26347,2
IMDb-1k,train,304,0.7,0.7,914,446,1193,550,768,25749,2
IMDb-1k,train,268,0.7,0.7,816,428,1082,460,768,20924,2
IMDb-1k,train,69,0.7,0.7,734,369,944,415,768,19035,2
IMDb-1k,train,455,0.7,0.7,950,459,1217,473,768,23229,2
IMDb-1k,train,465,0.7,0.7,764,453,1092,472,768,19910,2
IMDb-1k,train,154,0.7,0.7,977,431,1291,603,768,28442,2
IMDb-1k,train,82,0.7,0.7,877,450,1186,492,768,23337,2
IMDb-1k,train,477,0.7,0.7,788,354,1023,474,768,20753,2
IMDb-1k,train,172,0.7,0.7,766,353,953,391,768,17772,2
IMDb-1k,train,321,0.7,0.7,792,369,1140,495,768,21661,2
IMDb-1k,train,90,0.7,0.7,759,392,1048,475,768,21172,2
IMDb-1k,train,180,0.7,0.7,801,445,1071,461,768,22500,2
IMDb-1k,train,414,0.7,0.7,745,315,951,387,768,17783,2
IMDb-1k,train,312,0.7,0.7,773,392,1008,458,768,20988,2
IMDb-1k,train,278,0.7,0.7,946,428,1258,529,768,25034,2
IMDb-1k,train,381,0.7,0.7,808,447,1122,459,768,20345,2
IMDb-1k,train,472,0.7,0.7,786,363,1123,496,768,20808,2
IMDb-1k,train,362,0.7,0.7,812,373,1047,430,768,19065,2
IMDb-1k,train,324,0.7,0.7,980,459,1305,563,768,25966,2
IMDb-1k,train,431,0.7,0.7,770,385,989,442,768,19909,2
IMDb-1k,train,347,0.7,0.7,781,364,1021,461,768,20749,2
IMDb-1k,train,86,0.7,0.7,803,363,1062,486,768,22022,2
IMDb-1k,train,75,0.7,0.7,932,421,1177,522,768,26001,2
IMDb-1k,train,438,0.7,0.7,954,444,1257,549,768,27150,2
IMDb-1k,train,15,0.7,0.7,942,431,1184,550,768,26687,2
IMDb-1k,train,249,0.7,0.7,1435,622,1910,831,768,39638,2
IMDb-1k,train,433,0.7,0.7,804,369,996,460,768,21069,2
IMDb-1k,train,19,0.7,0.7,872,392,1063,499,768,23574,2
IMDb-1k,train,322,0.7,0.7,990,413,1209,512,768,24945,2
IMDb-1k,train,332,0.7,0.7,819,419,1130,511,768,23482,2
IMDb-1k,train,56,0.7,0.7,850,420,1116,500,768,22875,2
IMDb-1k,train,301,0.7,0.7,1447,531,1799,863,768,41964,2
IMDb-1k,train,229,0.7,0.7,969,421,1267,519,768,24832,2
IMDb-1k,train,331,0.7,0.7,794,364,1076,468,768,20891,2
IMDb-1k,train,132,0.7,0.7,869,421,1109,517,768,23749,2
IMDb-1k,train,137,0.7,0.7,970,447,1172,495,768,25134,2
IMDb-1k,train,423,0.7,0.7,1049,468,1284,626,768,31193,2
IMDb-1k,train,335,0.7,0.7,762,369,946,422,768,19832,2
IMDb-1k,train,25,0.7,0.7,970,461,1314,582,768,26993,2
IMDb-1k,train,464,0.7,0.7,787,383,1048,477,768,20878,2
IMDb-1k,train,281,0.7,0.7,916,389,1215,534,768,25052,2
IMDb-1k,train,247,0.7,0.7,887,400,1165,470,768,22335,2
IMDb-1k,train,237,0.7,0.7,793,353,1121,466,768,20705,2
IMDb-1k,train,117,0.7,0.7,946,393,1212,572,768,27599,2
IMDb-1k,train,42,0.7,0.7,949,459,1291,576,768,26567,2
IMDb-1k,train,220,0.7,0.7,1369,538,1644,753,768,39159,2
IMDb-1k,train,176,0.7,0.7,881,400,1134,460,768,21760,2
IMDb-1k,train,320,0.7,0.7,876,409,1095,457,768,21941,2
IMDb-1k,train,153,0.7,0.7,753,354,986,439,768,19623,2
IMDb-1k,train,231,0.7,0.7,863,408,1187,507,768,23624,2
IMDb-1k,train,227,0.7,0.7,838,433,1075,459,768,21276,2
IMDb-1k,train,417,0.7,0.7,961,460,1305,630,768,28272,2
IMDb-1k,train,203,0.7,0.7,765,431,1013,437,768,19497,2
IMDb-1k,train,126,0.7,0.7,958,464,1180,497,768,24274,2
IMDb-1k,train,329,0.7,0.7,827,428,1088,484,768,22448,2
IMDb-1k,train,31,0.7,0.7,799,420,1076,462,768,21535,2
IMDb-1k,train,113,0.7,0.7,770,399,1015,430,768,19326,2
IMDb-1k,train,470,0.7,0.7,799,398,1054,476,768,21726,2
IMDb-1k,train,271,0.7,0.7,877,379,1068,516,768,24564,2
IMDb-1k,train,140,0.7,0.7,779,421,1015,442,768,20205,2
IMDb-1k,train,57,0.7,0.7,844,392,1186,479,768,21106,2
IMDb-1k,train,192,0.7,0.7,904,400,1125,487,768,22862,2
IMDb-1k,train,24,0.7,0.7,866,425,1133,512,768,22805,2
IMDb-1k,train,17,0.7,0.7,765,391,996,459,768,20686,2
IMDb-1k,train,265,0.7,0.7,923,435,1140,515,768,24875,2
IMDb-1k,train,66,0.7,0.7,960,527,1421,617,768,28162,2
IMDb-1k,train,208,0.7,0.7,844,405,1078,489,768,22479,2
IMDb-1k,train,479,0.7,0.7,791,404,1004,484,768,23037,2
