dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,0.95,0.95,792,427,1019,111,768,342,2
IMDb-1k,train,73,0.95,0.95,788,362,1052,104,768,324,2
IMDb-1k,train,374,0.95,0.95,805,419,1042,113,768,345,2
IMDb-1k,train,155,0.95,0.95,787,336,1017,115,768,347,2
IMDb-1k,train,104,0.95,0.95,948,490,1352,132,768,401,2
IMDb-1k,train,394,0.95,0.95,940,478,1368,128,768,400,2
IMDb-1k,train,377,0.95,0.95,1141,567,1569,157,768,497,2
IMDb-1k,train,124,0.95,0.95,973,428,1325,136,768,423,2
IMDb-1k,train,68,0.95,0.95,934,428,1228,129,768,401,2
IMDb-1k,train,450,0.95,0.95,1294,571,1713,172,768,551,2
IMDb-1k,train,9,0.95,0.95,875,430,1141,118,768,365,2
IMDb-1k,train,194,0.95,0.95,938,517,1320,116,768,371,2
IMDb-1k,train,406,0.95,0.95,935,363,1204,109,768,344,2
IMDb-1k,train,84,0.95,0.95,779,308,987,113,768,337,2
IMDb-1k,train,371,0.95,0.95,768,399,1058,99,768,299,2
IMDb-1k,train,388,0.95,0.95,1645,603,2166,207,768,645,2
IMDb-1k,train,495,0.95,0.95,860,394,1141,108,768,322,2
IMDb-1k,train,30,0.95,0.95,787,386,1003,97,768,293,2
IMDb-1k,train,316,0.95,0.95,930,429,1309,134,768,398,2
IMDb-1k,train,408,0.95,0.95,937,504,1293,124,768,389,2
IMDb-1k,train,490,0.95,0.95,918,426,1251,129,768,395,2
IMDb-1k,train,491,0.95,0.95,948,524,1223,119,768,382,2
IMDb-1k,train,280,0.95,0.95,850,422,1121,107,768,336,2
IMDb-1k,train,356,0.95,0.95,885,400,1112,111,768,344,2
IMDb-1k,train,76,0.95,0.95,792,418,1034,106,768,325,2
IMDb-1k,train,461,0.95,0.95,901,414,1189,112,768,342,2
IMDb-1k,train,497,0.95,0.95,896,476,1290,110,768,336,2
IMDb-1k,train,211,0.95,0.95,976,462,1311,135,768,417,2
IMDb-1k,train,101,0.95,0.95,762,405,1067,112,768,335,2
IMDb-1k,train,334,0.95,0.95,976,486,1402,141,768,438,2
IMDb-1k,train,475,0.95,0.95,804,418,1064,107,768,330,2
IMDb-1k,train,336,0.95,0.95,883,376,1109,117,768,359,2
IMDb-1k,train,440,0.95,0.95,845,420,1147,106,768,330,2
IMDb-1k,train,173,0.95,0.95,949,429,1203,129,768,398,2
IMDb-1k,train,2,0.95,0.95,857,444,1105,112,768,342,2
IMDb-1k,train,333,0.95,0.95,908,419,1268,105,768,336,2
IMDb-1k,train,409,0.95,0.95,952,508,1251,113,768,366,2
IMDb-1k,train,70,0.95,0.95,1541,649,2123,208,768,625,2
IMDb-1k,train,209,0.95,0.95,892,430,1165,101,768,318,2
IMDb-1k,train,63,0.95,0.95,953,507,1356,139,768,425,2
