dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,0.9,0.5,792,427,1019,206,768,5035,2
IMDb-1k,train,73,0.9,0.5,788,362,1052,180,768,4470,2
IMDb-1k,train,374,0.9,0.5,805,419,1042,200,768,4842,2
IMDb-1k,train,155,0.9,0.5,787,336,1017,199,768,4791,2
IMDb-1k,train,104,0.9,0.5,948,490,1352,247,768,5797,2
IMDb-1k,train,394,0.9,0.5,940,478,1368,231,768,5605,2
IMDb-1k,train,377,0.9,0.5,1141,567,1569,266,768,6907,2
IMDb-1k,train,124,0.9,0.5,973,428,1325,247,768,6099,2
IMDb-1k,train,68,0.9,0.5,934,428,1228,221,768,5811,2
IMDb-1k,train,450,0.9,0.5,1294,571,1713,308,768,7786,2
IMDb-1k,train,9,0.9,0.5,875,430,1141,204,768,5086,2
IMDb-1k,train,194,0.9,0.5,938,517,1320,209,768,5182,2
IMDb-1k,train,406,0.9,0.5,935,363,1204,200,768,4976,2
IMDb-1k,train,84,0.9,0.5,779,308,987,204,768,4620,2
IMDb-1k,train,371,0.9,0.5,768,399,1058,175,768,4163,2
IMDb-1k,train,388,0.9,0.5,1645,603,2166,366,768,9378,2
IMDb-1k,train,495,0.9,0.5,860,394,1141,194,768,4471,2
IMDb-1k,train,30,0.9,0.5,787,386,1003,188,768,4347,2
IMDb-1k,train,316,0.9,0.5,930,429,1309,243,768,5407,2
IMDb-1k,train,408,0.9,0.5,937,504,1293,227,768,5681,2
IMDb-1k,train,490,0.9,0.5,918,426,1251,234,768,5808,2
IMDb-1k,train,491,0.9,0.5,948,524,1223,212,768,5835,2
IMDb-1k,train,280,0.9,0.5,850,422,1121,191,768,4988,2
IMDb-1k,train,356,0.9,0.5,885,400,1112,196,768,4892,2
IMDb-1k,train,76,0.9,0.5,792,418,1034,188,768,4583,2
IMDb-1k,train,461,0.9,0.5,901,414,1189,192,768,4724,2
IMDb-1k,train,497,0.9,0.5,896,476,1290,199,768,4801,2
IMDb-1k,train,211,0.9,0.5,976,462,1311,249,768,6149,2
IMDb-1k,train,101,0.9,0.5,762,405,1067,196,768,4486,2
IMDb-1k,train,334,0.9,0.5,976,486,1402,244,768,6142,2
IMDb-1k,train,475,0.9,0.5,804,418,1064,193,768,4665,2
IMDb-1k,train,336,0.9,0.5,883,376,1109,210,768,5202,2
IMDb-1k,train,440,0.9,0.5,845,420,1147,188,768,4690,2
IMDb-1k,train,173,0.9,0.5,949,429,1203,222,768,5644,2
IMDb-1k,train,2,0.9,0.5,857,444,1105,195,768,4840,2
IMDb-1k,train,333,0.9,0.5,908,419,1268,202,768,5199,2
IMDb-1k,train,409,0.9,0.5,952,508,1251,205,768,5462,2
IMDb-1k,train,70,0.9,0.5,1541,649,2123,373,768,8903,2
IMDb-1k,train,209,0.9,0.5,892,430,1165,187,768,4718,2
IMDb-1k,train,63,0.9,0.5,953,507,1356,252,768,6137,2
IMDb-1k,train,384,0.9,0.5,827,382,1071,199,768,4743,2
IMDb-1k,train,93,0.9,0.5,960,445,1247,221,768,5598,2
IMDb-1k,train,485,0.9,0.5,790,401,986,173,768,4416,2
IMDb-1k,train,185,0.9,0.5,911,491,1143,211,768,5441,2
IMDb-1k,train,33,0.9,0.5,947,445,1263,215,768,5633,2
IMDb-1k,train,77,0.9,0.5,803,383,1089,197,768,4843,2
IMDb-1k,train,0,0.9,0.5,852,408,1050,178,768,4418,2
IMDb-1k,train,11,0.9,0.5,948,368,1293,242,768,5596,2
IMDb-1k,train,415,0.9,0.5,944,426,1195,213,768,5504,2
IMDb-1k,train,22,0.9,0.5,851,410,1147,199,768,5139,2
IMDb-1k,train,72,0.9,0.5,783,392,1072,196,768,4554,2
IMDb-1k,train,182,0.9,0.5,764,310,928,179,768,4434,2
IMDb-1k,train,131,0.9,0.5,1028,521,1360,237,768,5968,2
IMDb-1k,train,410,0.9,0.5,835,417,1145,195,768,4519,2
IMDb-1k,train,193,0.9,0.5,876,459,1176,198,768,4990,2
IMDb-1k,train,55,0.9,0.5,965,463,1415,237,768,5522,2
IMDb-1k,train,148,0.9,0.5,921,449,1303,222,768,5286,2
IMDb-1k,train,18,0.9,0.5,796,394,1118,186,768,4600,2
IMDb-1k,train,204,0.9,0.5,977,509,1288,237,768,6016,2
IMDb-1k,train,78,0.9,0.5,931,411,1226,202,768,5079,2
IMDb-1k,train,494,0.9,0.5,816,382,1091,184,768,4533,2
IMDb-1k,train,262,0.9,0.5,910,390,1090,187,768,4767,2
IMDb-1k,train,323,0.9,0.5,935,439,1241,213,768,5447,2
IMDb-1k,train,483,0.9,0.5,1161,426,1433,271,768,6631,2
IMDb-1k,train,79,0.9,0.5,884,427,1152,191,768,4929,2
IMDb-1k,train,39,0.9,0.5,753,472,1048,189,768,4479,2
IMDb-1k,train,451,0.9,0.5,891,375,1115,201,768,5058,2
IMDb-1k,train,46,0.9,0.5,806,432,1084,188,768,4707,2
IMDb-1k,train,238,0.9,0.5,1464,632,1974,324,768,8361,2
IMDb-1k,train,391,0.9,0.5,766,399,1083,175,768,4134,2
IMDb-1k,train,352,0.9,0.5,953,475,1279,239,768,5945,2
IMDb-1k,train,341,0.9,0.5,802,393,1081,165,768,3992,2
IMDb-1k,train,277,0.9,0.5,791,338,1033,197,768,4754,2
IMDb-1k,train,290,0.9,0.5,948,507,1303,239,768,5612,2
IMDb-1k,train,317,0.9,0.5,899,442,1244,205,768,5382,2
IMDb-1k,train,304,0.9,0.5,914,446,1193,223,768,5591,2
IMDb-1k,train,268,0.9,0.5,816,428,1082,157,768,3794,2
IMDb-1k,train,69,0.9,0.5,734,369,944,165,768,3979,2
IMDb-1k,train,455,0.9,0.5,950,459,1217,191,768,4976,2
IMDb-1k,train,465,0.9,0.5,764,453,1092,178,768,4101,2
IMDb-1k,train,154,0.9,0.5,977,431,1291,244,768,6057,2
IMDb-1k,train,82,0.9,0.5,877,450,1186,201,768,5039,2
IMDb-1k,train,477,0.9,0.5,788,354,1023,193,768,4467,2
IMDb-1k,train,172,0.9,0.5,766,353,953,147,768,3669,2
IMDb-1k,train,321,0.9,0.5,792,369,1140,200,768,4635,2
IMDb-1k,train,90,0.9,0.5,759,392,1048,186,768,4415,2
IMDb-1k,train,180,0.9,0.5,801,445,1071,174,768,4530,2
IMDb-1k,train,414,0.9,0.5,745,315,951,155,768,3812,2
IMDb-1k,train,312,0.9,0.5,773,392,1008,189,768,4549,2
IMDb-1k,train,278,0.9,0.5,946,428,1258,211,768,5321,2
IMDb-1k,train,381,0.9,0.5,808,447,1122,174,768,4247,2
IMDb-1k,train,472,0.9,0.5,786,363,1123,206,768,4540,2
IMDb-1k,train,362,0.9,0.5,812,373,1047,169,768,4065,2
IMDb-1k,train,324,0.9,0.5,980,459,1305,229,768,5557,2
IMDb-1k,train,431,0.9,0.5,770,385,989,159,768,3894,2
IMDb-1k,train,347,0.9,0.5,781,364,1021,178,768,4282,2
IMDb-1k,train,86,0.9,0.5,803,363,1062,183,768,4479,2
IMDb-1k,train,75,0.9,0.5,932,421,1177,213,768,5702,2
IMDb-1k,train,438,0.9,0.5,954,444,1257,219,768,5751,2
IMDb-1k,train,15,0.9,0.5,942,431,1184,224,768,5734,2
IMDb-1k,train,249,0.9,0.5,1435,622,1910,321,768,8237,2
IMDb-1k,train,433,0.9,0.5,804,369,996,198,768,4670,2
IMDb-1k,train,19,0.9,0.5,872,392,1063,208,768,5123,2
IMDb-1k,train,322,0.9,0.5,990,413,1209,196,768,5118,2
IMDb-1k,train,332,0.9,0.5,819,419,1130,205,768,4997,2
IMDb-1k,train,56,0.9,0.5,850,420,1116,198,768,4770,2
IMDb-1k,train,301,0.9,0.5,1447,531,1799,354,768,9056,2
IMDb-1k,train,229,0.9,0.5,969,421,1267,191,768,4938,2
IMDb-1k,train,331,0.9,0.5,794,364,1076,183,768,4473,2
IMDb-1k,train,132,0.9,0.5,869,421,1109,201,768,4849,2
IMDb-1k,train,137,0.9,0.5,970,447,1172,191,768,5247,2
IMDb-1k,train,423,0.9,0.5,1049,468,1284,250,768,6561,2
IMDb-1k,train,335,0.9,0.5,762,369,946,152,768,3778,2
IMDb-1k,train,25,0.9,0.5,970,461,1314,227,768,5609,2
IMDb-1k,train,464,0.9,0.5,787,383,1048,191,768,4443,2
IMDb-1k,train,281,0.9,0.5,916,389,1215,212,768,5287,2
IMDb-1k,train,247,0.9,0.5,887,400,1165,182,768,4659,2
IMDb-1k,train,237,0.9,0.5,793,353,1121,182,768,4400,2
IMDb-1k,train,117,0.9,0.5,946,393,1212,240,768,5968,2
IMDb-1k,train,42,0.9,0.5,949,459,1291,232,768,5785,2
IMDb-1k,train,220,0.9,0.5,1369,538,1644,296,768,8170,2
IMDb-1k,train,176,0.9,0.5,881,400,1134,182,768,4558,2
IMDb-1k,train,320,0.9,0.5,876,409,1095,162,768,4304,2
IMDb-1k,train,153,0.9,0.5,753,354,986,177,768,4208,2
IMDb-1k,train,231,0.9,0.5,863,408,1187,198,768,4950,2
IMDb-1k,train,227,0.9,0.5,838,433,1075,184,768,4564,2
IMDb-1k,train,417,0.9,0.5,961,460,1305,246,768,5912,2
IMDb-1k,train,203,0.9,0.5,765,431,1013,170,768,4122,2
