dataset,split,index,window_size,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,2,792,427,1019,505,768,1410,1
IMDb-1k,train,73,2,788,362,1052,420,768,1292,1
IMDb-1k,train,374,2,805,419,1042,475,768,1399,1
IMDb-1k,train,155,2,787,336,1017,374,768,1211,1
IMDb-1k,train,104,2,948,490,1352,576,768,1691,1
IMDb-1k,train,394,2,940,478,1368,559,768,1689,1
IMDb-1k,train,377,2,1141,567,1569,670,768,2032,1
IMDb-1k,train,124,2,973,428,1325,506,768,1600,1
IMDb-1k,train,68,2,934,428,1228,475,768,1495,1
IMDb-1k,train,450,2,1294,571,1713,638,768,2044,1
IMDb-1k,train,9,2,875,430,1141,493,768,1514,1
IMDb-1k,train,194,2,938,517,1320,594,768,1715,1
IMDb-1k,train,406,2,935,363,1204,399,768,1313,1
IMDb-1k,train,84,2,779,308,987,345,768,1162,1
IMDb-1k,train,371,2,768,399,1058,440,768,1334,1
IMDb-1k,train,388,2,1645,603,2166,665,768,2296,1
IMDb-1k,train,495,2,860,394,1141,430,768,1352,1
IMDb-1k,train,30,2,787,386,1003,425,768,1304,1
IMDb-1k,train,316,2,930,429,1309,470,768,1554,1
IMDb-1k,train,408,2,937,504,1293,601,768,1722,1
IMDb-1k,train,490,2,918,426,1251,484,768,1541,1
IMDb-1k,train,491,2,948,524,1223,606,768,1688,1
IMDb-1k,train,280,2,850,422,1121,485,768,1434,1
IMDb-1k,train,356,2,885,400,1112,456,768,1418,1
IMDb-1k,train,76,2,792,418,1034,475,768,1405,1
IMDb-1k,train,461,2,901,414,1189,464,768,1469,1
IMDb-1k,train,497,2,896,476,1290,552,768,1646,1
IMDb-1k,train,211,2,976,462,1311,522,768,1617,1
IMDb-1k,train,101,2,762,405,1067,463,768,1385,1
IMDb-1k,train,334,2,976,486,1402,590,768,1733,1
IMDb-1k,train,475,2,804,418,1064,475,768,1386,1
IMDb-1k,train,336,2,883,376,1109,420,768,1358,1
IMDb-1k,train,440,2,845,420,1147,494,768,1474,1
IMDb-1k,train,173,2,949,429,1203,478,768,1510,1
IMDb-1k,train,2,2,857,444,1105,519,768,1496,1
IMDb-1k,train,333,2,908,419,1268,483,768,1514,1
IMDb-1k,train,409,2,952,508,1251,580,768,1690,1
IMDb-1k,train,70,2,1541,649,2123,733,768,2429,1
IMDb-1k,train,209,2,892,430,1165,471,768,1447,1
IMDb-1k,train,63,2,953,507,1356,612,768,1780,1
IMDb-1k,train,384,2,827,382,1071,422,768,1336,1
IMDb-1k,train,93,2,960,445,1247,496,768,1531,1
IMDb-1k,train,485,2,790,401,986,457,768,1347,1
IMDb-1k,train,185,2,911,491,1143,554,768,1614,1
IMDb-1k,train,33,2,947,445,1263,499,768,1554,1
IMDb-1k,train,77,2,803,383,1089,457,768,1356,1
IMDb-1k,train,0,2,852,408,1050,448,768,1396,1
IMDb-1k,train,11,2,948,368,1293,403,768,1440,1
IMDb-1k,train,415,2,944,426,1195,480,768,1447,1
IMDb-1k,train,22,2,851,410,1147,471,768,1460,1
IMDb-1k,train,72,2,783,392,1072,445,768,1342,1
IMDb-1k,train,182,2,764,310,928,337,768,1082,1
IMDb-1k,train,131,2,1028,521,1360,585,768,1758,1
IMDb-1k,train,410,2,835,417,1145,470,768,1454,1
IMDb-1k,train,193,2,876,459,1176,538,768,1575,1
IMDb-1k,train,55,2,965,463,1415,550,768,1746,1
IMDb-1k,train,148,2,921,449,1303,515,768,1604,1
IMDb-1k,train,18,2,796,394,1118,469,768,1416,1
IMDb-1k,train,204,2,977,509,1288,574,768,1700,1
IMDb-1k,train,78,2,931,411,1226,462,768,1486,1
IMDb-1k,train,494,2,816,382,1091,436,768,1368,1
IMDb-1k,train,262,2,910,390,1090,423,768,1326,1
IMDb-1k,train,323,2,935,439,1241,493,768,1545,1
IMDb-1k,train,483,2,1161,426,1433,459,768,1599,1
IMDb-1k,train,79,2,884,427,1152,476,768,1462,1
IMDb-1k,train,39,2,753,472,1048,571,768,1528,1
IMDb-1k,train,451,2,891,375,1115,411,768,1364,1
IMDb-1k,train,46,2,806,432,1084,500,768,1444,1
IMDb-1k,train,238,2,1464,632,1974,720,768,2376,1
IMDb-1k,train,391,2,766,399,1083,459,768,1396,1
IMDb-1k,train,352,2,953,475,1279,544,768,1629,1
IMDb-1k,train,341,2,802,393,1081,446,768,1383,1
IMDb-1k,train,277,2,791,338,1033,372,768,1174,1
IMDb-1k,train,290,2,948,507,1303,573,768,1693,1
IMDb-1k,train,317,2,899,442,1244,518,768,1567,1
IMDb-1k,train,304,2,914,446,1193,516,768,1545,1
IMDb-1k,train,268,2,816,428,1082,496,768,1429,1
IMDb-1k,train,69,2,734,369,944,418,768,1246,1
IMDb-1k,train,455,2,950,459,1217,502,768,1546,1
IMDb-1k,train,465,2,764,453,1092,535,768,1520,1
IMDb-1k,train,154,2,977,431,1291,480,768,1526,1
IMDb-1k,train,82,2,877,450,1186,528,768,1570,1
IMDb-1k,train,477,2,788,354,1023,406,768,1256,1
IMDb-1k,train,172,2,766,353,953,386,768,1192,1
IMDb-1k,train,321,2,792,369,1140,449,768,1402,1
IMDb-1k,train,90,2,759,392,1048,435,768,1284,1
IMDb-1k,train,180,2,801,445,1071,532,768,1511,1
IMDb-1k,train,414,2,745,315,951,344,768,1105,1
IMDb-1k,train,312,2,773,392,1008,448,768,1340,1
IMDb-1k,train,278,2,946,428,1258,481,768,1483,1
IMDb-1k,train,381,2,808,447,1122,519,768,1497,1
IMDb-1k,train,472,2,786,363,1123,401,768,1292,1
IMDb-1k,train,362,2,812,373,1047,409,768,1300,1
IMDb-1k,train,324,2,980,459,1305,503,768,1599,1
IMDb-1k,train,431,2,770,385,989,440,768,1331,1
IMDb-1k,train,347,2,781,364,1021,421,768,1282,1
