dataset,split,index,window_size,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,5,792,427,1019,505,768,4065,1
IMDb-1k,train,73,5,788,362,1052,420,768,3860,1
IMDb-1k,train,374,5,805,419,1042,475,768,4123,1
IMDb-1k,train,155,5,787,336,1017,374,768,3642,1
IMDb-1k,train,104,5,948,490,1352,576,768,4982,1
IMDb-1k,train,394,5,940,478,1368,559,768,4965,1
IMDb-1k,train,377,5,1141,567,1569,670,768,5980,1
IMDb-1k,train,124,5,973,428,1325,506,768,4752,1
IMDb-1k,train,68,5,934,428,1228,475,768,4469,1
IMDb-1k,train,450,5,1294,571,1713,638,768,6062,1
IMDb-1k,train,9,5,875,430,1141,493,768,4419,1
IMDb-1k,train,194,5,938,517,1320,594,768,5000,1
IMDb-1k,train,406,5,935,363,1204,399,768,4019,1
IMDb-1k,train,84,5,779,308,987,345,768,3519,1
IMDb-1k,train,371,5,768,399,1058,440,768,3882,1
IMDb-1k,train,388,5,1645,603,2166,665,768,7073,1
IMDb-1k,train,495,5,860,394,1141,430,768,3940,1
IMDb-1k,train,30,5,787,386,1003,425,768,3747,1
IMDb-1k,train,316,5,930,429,1309,470,768,4620,1
IMDb-1k,train,408,5,937,504,1293,601,768,4943,1
IMDb-1k,train,490,5,918,426,1251,484,768,4630,1
IMDb-1k,train,491,5,948,524,1223,606,768,4890,1
IMDb-1k,train,280,5,850,422,1121,485,768,4223,1
IMDb-1k,train,356,5,885,400,1112,456,768,4150,1
IMDb-1k,train,76,5,792,418,1034,475,768,4057,1
IMDb-1k,train,461,5,901,414,1189,464,768,4242,1
IMDb-1k,train,497,5,896,476,1290,552,768,4764,1
IMDb-1k,train,211,5,976,462,1311,522,768,4734,1
IMDb-1k,train,101,5,762,405,1067,463,768,4025,1
IMDb-1k,train,334,5,976,486,1402,590,768,5008,1
IMDb-1k,train,475,5,804,418,1064,475,768,4097,1
IMDb-1k,train,336,5,883,376,1109,420,768,4074,1
IMDb-1k,train,440,5,845,420,1147,494,768,4240,1
IMDb-1k,train,173,5,949,429,1203,478,768,4380,1
IMDb-1k,train,2,5,857,444,1105,519,768,4301,1
IMDb-1k,train,333,5,908,419,1268,483,768,4421,1
IMDb-1k,train,409,5,952,508,1251,580,768,4870,1
IMDb-1k,train,70,5,1541,649,2123,733,768,7085,1
IMDb-1k,train,209,5,892,430,1165,471,768,4289,1
IMDb-1k,train,63,5,953,507,1356,612,768,5188,1
IMDb-1k,train,384,5,827,382,1071,422,768,3956,1
IMDb-1k,train,93,5,960,445,1247,496,768,4490,1
IMDb-1k,train,485,5,790,401,986,457,768,3929,1
IMDb-1k,train,185,5,911,491,1143,554,768,4684,1
IMDb-1k,train,33,5,947,445,1263,499,768,4585,1
IMDb-1k,train,77,5,803,383,1089,457,768,4035,1
IMDb-1k,train,0,5,852,408,1050,448,768,4062,1
IMDb-1k,train,11,5,948,368,1293,403,768,4407,1
IMDb-1k,train,415,5,944,426,1195,480,768,4288,1
IMDb-1k,train,22,5,851,410,1147,471,768,4251,1
IMDb-1k,train,72,5,783,392,1072,445,768,3985,1
IMDb-1k,train,182,5,764,310,928,337,768,3223,1
IMDb-1k,train,131,5,1028,521,1360,585,768,5139,1
IMDb-1k,train,410,5,835,417,1145,470,768,4222,1
IMDb-1k,train,193,5,876,459,1176,538,768,4484,1
IMDb-1k,train,55,5,965,463,1415,550,768,5178,1
IMDb-1k,train,148,5,921,449,1303,515,768,4697,1
IMDb-1k,train,18,5,796,394,1118,469,768,4147,1
IMDb-1k,train,204,5,977,509,1288,574,768,5012,1
IMDb-1k,train,78,5,931,411,1226,462,768,4398,1
IMDb-1k,train,494,5,816,382,1091,436,768,4084,1
IMDb-1k,train,262,5,910,390,1090,423,768,3865,1
IMDb-1k,train,323,5,935,439,1241,493,768,4601,1
IMDb-1k,train,483,5,1161,426,1433,459,768,4787,1
IMDb-1k,train,79,5,884,427,1152,476,768,4334,1
IMDb-1k,train,39,5,753,472,1048,571,768,4331,1
IMDb-1k,train,451,5,891,375,1115,411,768,4069,1
IMDb-1k,train,46,5,806,432,1084,500,768,4204,1
IMDb-1k,train,238,5,1464,632,1974,720,768,7048,1
IMDb-1k,train,391,5,766,399,1083,459,768,4075,1
IMDb-1k,train,352,5,953,475,1279,544,768,4784,1
IMDb-1k,train,341,5,802,393,1081,446,768,4116,1
IMDb-1k,train,277,5,791,338,1033,372,768,3590,1
IMDb-1k,train,290,5,948,507,1303,573,768,4911,1
IMDb-1k,train,317,5,899,442,1244,518,768,4620,1
IMDb-1k,train,304,5,914,446,1193,516,768,4528,1
IMDb-1k,train,268,5,816,428,1082,496,768,4160,1
IMDb-1k,train,69,5,734,369,944,418,768,3590,1
IMDb-1k,train,455,5,950,459,1217,502,768,4548,1
IMDb-1k,train,465,5,764,453,1092,535,768,4301,1
IMDb-1k,train,154,5,977,431,1291,480,768,4548,1
IMDb-1k,train,82,5,877,450,1186,528,768,4634,1
IMDb-1k,train,477,5,788,354,1023,406,768,3690,1
IMDb-1k,train,172,5,766,353,953,386,768,3526,1
IMDb-1k,train,321,5,792,369,1140,449,768,4123,1
IMDb-1k,train,90,5,759,392,1048,435,768,3733,1
IMDb-1k,train,180,5,801,445,1071,532,768,4356,1
IMDb-1k,train,414,5,745,315,951,344,768,3310,1
IMDb-1k,train,312,5,773,392,1008,448,768,3968,1
