dataset,split,index,window_size,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,361,4,792,427,1019,505,768,3200,1
IMDb-1k,train,73,4,788,362,1052,420,768,3029,1
IMDb-1k,train,374,4,805,419,1042,475,768,3233,1
IMDb-1k,train,155,4,787,336,1017,374,768,2863,1
IMDb-1k,train,104,4,948,490,1352,576,768,3908,1
IMDb-1k,train,394,4,940,478,1368,559,768,3898,1
IMDb-1k,train,377,4,1141,567,1569,670,768,4702,1
IMDb-1k,train,124,4,973,428,1325,506,768,3713,1
IMDb-1k,train,68,4,934,428,1228,475,768,3499,1
IMDb-1k,train,450,4,1294,571,1713,638,768,4757,1
IMDb-1k,train,9,4,875,430,1141,493,768,3494,1
IMDb-1k,train,194,4,938,517,1320,594,768,3926,1
IMDb-1k,train,406,4,935,363,1204,399,768,3140,1
IMDb-1k,train,84,4,779,308,987,345,768,2748,1
IMDb-1k,train,371,4,768,399,1058,440,768,3061,1
IMDb-1k,train,388,4,1645,603,2166,665,768,5516,1
IMDb-1k,train,495,4,860,394,1141,430,768,3114,1
IMDb-1k,train,30,4,787,386,1003,425,768,2971,1
IMDb-1k,train,316,4,930,429,1309,470,768,3629,1
IMDb-1k,train,408,4,937,504,1293,601,768,3898,1
IMDb-1k,train,490,4,918,426,1251,484,768,3631,1
IMDb-1k,train,491,4,948,524,1223,606,768,3834,1
IMDb-1k,train,280,4,850,422,1121,485,768,3314,1
IMDb-1k,train,356,4,885,400,1112,456,768,3272,1
IMDb-1k,train,76,4,792,418,1034,475,768,3205,1
IMDb-1k,train,461,4,901,414,1189,464,768,3368,1
IMDb-1k,train,497,4,896,476,1290,552,768,3750,1
IMDb-1k,train,211,4,976,462,1311,522,768,3725,1
IMDb-1k,train,101,4,762,405,1067,463,768,3180,1
IMDb-1k,train,334,4,976,486,1402,590,768,3956,1
IMDb-1k,train,475,4,804,418,1064,475,768,3205,1
IMDb-1k,train,336,4,883,376,1109,420,768,3194,1
IMDb-1k,train,440,4,845,420,1147,494,768,3340,1
IMDb-1k,train,173,4,949,429,1203,478,768,3456,1
IMDb-1k,train,2,4,857,444,1105,519,768,3388,1
IMDb-1k,train,333,4,908,419,1268,483,768,3501,1
IMDb-1k,train,409,4,952,508,1251,580,768,3848,1
IMDb-1k,train,70,4,1541,649,2123,733,768,5599,1
IMDb-1k,train,209,4,892,430,1165,471,768,3359,1
IMDb-1k,train,63,4,953,507,1356,612,768,4081,1
IMDb-1k,train,384,4,827,382,1071,422,768,3108,1
IMDb-1k,train,93,4,960,445,1247,496,768,3539,1
IMDb-1k,train,485,4,790,401,986,457,768,3093,1
IMDb-1k,train,185,4,911,491,1143,554,768,3694,1
IMDb-1k,train,33,4,947,445,1263,499,768,3603,1
IMDb-1k,train,77,4,803,383,1089,457,768,3147,1
IMDb-1k,train,0,4,852,408,1050,448,768,3218,1
IMDb-1k,train,11,4,948,368,1293,403,768,3445,1
IMDb-1k,train,415,4,944,426,1195,480,768,3364,1
IMDb-1k,train,22,4,851,410,1147,471,768,3350,1
IMDb-1k,train,72,4,783,392,1072,445,768,3120,1
IMDb-1k,train,182,4,764,310,928,337,768,2535,1
IMDb-1k,train,131,4,1028,521,1360,585,768,4050,1
IMDb-1k,train,410,4,835,417,1145,470,768,3332,1
IMDb-1k,train,193,4,876,459,1176,538,768,3551,1
IMDb-1k,train,55,4,965,463,1415,550,768,4061,1
IMDb-1k,train,148,4,921,449,1303,515,768,3704,1
IMDb-1k,train,18,4,796,394,1118,469,768,3261,1
IMDb-1k,train,204,4,977,509,1288,574,768,3930,1
IMDb-1k,train,78,4,931,411,1226,462,768,3451,1
IMDb-1k,train,494,4,816,382,1091,436,768,3194,1
IMDb-1k,train,262,4,910,390,1090,423,768,3053,1
IMDb-1k,train,323,4,935,439,1241,493,768,3599,1
IMDb-1k,train,483,4,1161,426,1433,459,768,3762,1
IMDb-1k,train,79,4,884,427,1152,476,768,3403,1
IMDb-1k,train,39,4,753,472,1048,571,768,3406,1
IMDb-1k,train,451,4,891,375,1115,411,768,3198,1
IMDb-1k,train,46,4,806,432,1084,500,768,3300,1
IMDb-1k,train,238,4,1464,632,1974,720,768,5534,1
IMDb-1k,train,391,4,766,399,1083,459,768,3204,1
IMDb-1k,train,352,4,953,475,1279,544,768,3758,1
IMDb-1k,train,341,4,802,393,1081,446,768,3230,1
IMDb-1k,train,277,4,791,338,1033,372,768,2799,1
IMDb-1k,train,290,4,948,507,1303,573,768,3874,1
IMDb-1k,train,317,4,899,442,1244,518,768,3620,1
IMDb-1k,train,304,4,914,446,1193,516,768,3554,1
IMDb-1k,train,268,4,816,428,1082,496,768,3270,1
IMDb-1k,train,69,4,734,369,944,418,768,2829,1
IMDb-1k,train,455,4,950,459,1217,502,768,3581,1
IMDb-1k,train,465,4,764,453,1092,535,768,3397,1
IMDb-1k,train,154,4,977,431,1291,480,768,3559,1
IMDb-1k,train,82,4,877,450,1186,528,768,3623,1
IMDb-1k,train,477,4,788,354,1023,406,768,2900,1
IMDb-1k,train,172,4,766,353,953,386,768,2760,1
IMDb-1k,train,321,4,792,369,1140,449,768,3244,1
IMDb-1k,train,90,4,759,392,1048,435,768,2950,1
IMDb-1k,train,180,4,801,445,1071,532,768,3424,1
IMDb-1k,train,414,4,745,315,951,344,768,2599,1
IMDb-1k,train,312,4,773,392,1008,448,768,3113,1
IMDb-1k,train,278,4,946,428,1258,481,768,3417,1
IMDb-1k,train,381,4,808,447,1122,519,768,3369,1
IMDb-1k,train,472,4,786,363,1123,401,768,3049,1
IMDb-1k,train,362,4,812,373,1047,409,768,3015,1
IMDb-1k,train,324,4,980,459,1305,503,768,3726,1
IMDb-1k,train,431,4,770,385,989,440,768,3042,1
IMDb-1k,train,347,4,781,364,1021,421,768,2946,1
IMDb-1k,train,86,4,803,363,1062,399,768,2974,1
IMDb-1k,train,75,4,932,421,1177,472,768,3381,1
IMDb-1k,train,438,4,954,444,1257,493,768,3619,1
IMDb-1k,train,15,4,942,431,1184,482,768,3455,1
IMDb-1k,train,249,4,1435,622,1910,702,768,5377,1
IMDb-1k,train,433,4,804,369,996,410,768,2960,1
IMDb-1k,train,19,4,872,392,1063,432,768,3064,1
IMDb-1k,train,322,4,990,413,1209,459,768,3367,1
IMDb-1k,train,332,4,819,419,1130,506,768,3367,1
IMDb-1k,train,56,4,850,420,1116,480,768,3303,1
IMDb-1k,train,301,4,1447,531,1799,603,768,4889,1
IMDb-1k,train,229,4,969,421,1267,470,768,3484,1
IMDb-1k,train,331,4,794,364,1076,407,768,2996,1
IMDb-1k,train,132,4,869,421,1109,455,768,3256,1
IMDb-1k,train,137,4,970,447,1172,499,768,3572,1
IMDb-1k,train,423,4,1049,468,1284,538,768,3691,1
IMDb-1k,train,335,4,762,369,946,398,768,2796,1
