0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,identifier,split
9.0822236e-05,2.3544346e-05,1.0680822e-05,0.0002847854,0.000301926,0.00026942196,0.0005681541,0.00017737874,0.0015320057,0.9795272,0.0003657296,1.6905795e-05,0.00021300557,0.00055177143,0.00056030345,0.00021850815,0.004383966,0.0011692068,0.0003459968,0.002557058,0.0018259314,0.00054723665,0.0044584866,0,test
0.0025706235,0.023449311,0.0018084283,0.005411757,0.001855643,0.0004221404,0.00048267824,0.0005529135,0.0008272052,0.0005967117,0.00402427,0.00034042352,0.00036895295,0.002590433,0.00028412018,0.0019499509,0.00015744717,0.0022268351,0.00010869902,0.94441694,0.0033023139,0.0006714559,0.0015807984,1,test
0.0008414076,0.000106365806,0.0001524447,0.0020395785,0.001098007,0.006059972,0.0014286785,0.0055373325,0.0018258312,0.00517018,0.001599122,0.00013704845,0.001297409,0.945515,0.0012543132,0.0022951036,0.0022205876,0.001867193,0.00016256711,0.008271266,0.0059902743,0.0017175791,0.003412867,2,test
0.0074754423,0.003303681,0.0014562442,0.10062917,0.016385932,0.0082440665,0.017097455,0.0027638003,0.017011093,0.06314817,0.009625782,0.0038452912,0.0106824,0.1981789,0.029967157,0.079137444,0.035780452,0.011291005,0.0023471287,0.063014135,0.06406384,0.0041295523,0.25042188,3,test
0.0011130277,0.007568923,0.0011815653,0.007902531,0.0021516664,0.00037864232,0.00039506715,0.00066618173,0.00072082935,0.00095104205,0.000932601,0.00012074826,0.00052753073,0.002925574,0.001414846,0.0012264128,0.00033202372,0.0018084839,0.00015004995,0.96264046,0.0032754128,0.0005532198,0.0010632637,4,test
0.003922085,0.0008658706,0.0012283867,0.0033197375,0.004423095,0.0003574886,0.00022882302,0.00032899692,0.0004635883,0.00064923853,0.0010632002,0.9754656,0.00039003885,0.00071882707,0.00062762835,0.0008679839,0.0008138521,0.00019786991,0.0014937123,0.0003979986,0.0009934743,0.00055106997,0.0006313907,5,test
0.011385532,0.005292195,0.0020270431,0.038851276,0.016044365,0.03698397,0.0032437008,0.0028046921,0.01112006,0.074718595,0.011591671,0.009797557,0.08777421,0.21162699,0.029327333,0.005105857,0.005375409,0.0071616224,0.0074541424,0.02582171,0.0394863,0.006215231,0.3507906,6,test
0.03549055,0.004485889,0.005854537,0.008151085,0.0044451253,0.004732416,0.007621267,0.02025493,0.017297188,0.004142252,0.0071739904,0.0011050724,0.0062000714,0.01616318,0.00061394495,0.039976206,0.0169637,0.022526242,0.000555558,0.014252828,0.3230421,0.0047734897,0.4341784,7,test
0.03636544,0.014220338,0.0049090423,0.04936503,0.04940158,0.012865261,0.013569539,0.04189379,0.011661496,0.03737476,0.022967704,0.03225439,0.013199058,0.047950916,0.16911308,0.024980424,0.0273759,0.08014741,0.031260762,0.15472412,0.020367073,0.0108551895,0.09317769,8,test
0.006837903,0.0021284847,0.0034645335,0.011658818,0.0019851404,0.8100851,0.013878145,0.004142297,0.0077977,0.004142113,0.0033631541,0.0024456303,0.00757935,0.023035305,0.0038478398,0.0045792577,0.0029541445,0.0070248973,0.0012557964,0.016801711,0.0058728415,0.0024728887,0.0526469,9,test
