0,1,2,3,4,5,6,7,index,identifier,chunk,split
0.0026003635,0.0027251772,0.98460025,0.0032733872,0.002324227,0.00082718104,0.0025141817,0.0011352559,0,1358,0,test
0.98589087,0.0021776771,0.0020504538,0.0013334656,0.0023907255,0.002541029,0.0020033473,0.0016124506,1,807,0,test
0.0020536522,0.002735834,0.9856958,0.0029083902,0.002448238,0.00096080924,0.002223261,0.0009739945,2,1966,0,test
0.9854903,0.002451828,0.0035011426,0.0010924254,0.0023938885,0.0023361885,0.0015805535,0.0011536925,3,1348,0,test
0.0024040285,0.0022349448,0.9862266,0.0031145024,0.0023064425,0.0007537391,0.0019917781,0.0009678954,4,1609,0,test
0.0014301323,0.0017836135,0.002215024,0.0023387328,0.0010743565,0.002014921,0.9874669,0.0016763521,5,1504,0,test
0.0017395957,0.001996461,0.9854447,0.0025652712,0.0042576287,0.0012592009,0.0018920697,0.00084517105,6,1326,0,test
0.0016919747,0.0018373183,0.98741674,0.002533865,0.002789588,0.0006911767,0.0020915547,0.00094776996,7,904,0,test
0.011708252,0.002333981,0.9662478,0.007954412,0.0038160956,0.0009791268,0.005298493,0.0016617436,8,1208,0,test
0.0016203625,0.001893275,0.9871158,0.0025073818,0.0031710912,0.00097229076,0.001819365,0.0009005049,9,395,0,test
0.0012723911,0.0016246728,0.0021461025,0.0028041713,0.0009953689,0.0016714629,0.98816144,0.0013245008,10,313,0,test
0.0018714872,0.0019662478,0.9842897,0.0026354073,0.0048609255,0.0016019002,0.0018634998,0.00091074634,11,966,0,test
0.0027011957,0.0027028013,0.9851125,0.003156231,0.0025025948,0.0008246593,0.0020359522,0.0009641414,12,860,0,test
0.017565217,0.0020129941,0.9654809,0.004381651,0.005486288,0.0011103321,0.0027119434,0.0012505795,13,1740,0,test
0.98589325,0.0021239961,0.003917573,0.001111027,0.0021193202,0.0018732826,0.0017764246,0.00118504,14,99,0,test
0.0017762352,0.0024679927,0.98510265,0.003198814,0.003692342,0.001024837,0.0017573717,0.0009798233,15,1510,0,test
0.9846447,0.0024547747,0.0018864573,0.0012635711,0.0025736012,0.003252797,0.0019324132,0.0019915015,16,657,0,test
0.0020306727,0.0020747073,0.986336,0.0029769116,0.002974515,0.00074324914,0.002020719,0.0008432745,17,1002,0,test
0.0019584934,0.9840605,0.0028264257,0.0019513647,0.0011951289,0.0022837154,0.0022884782,0.00343595,18,1802,0,test
0.986059,0.0021704773,0.0025825445,0.001413282,0.0020551018,0.0019447025,0.00210314,0.0016717358,19,118,0,test
0.006752907,0.0029669933,0.94905585,0.0050754747,0.026407717,0.0047979606,0.0032863738,0.0016567509,20,1666,0,test
0.9852722,0.002162928,0.0028142922,0.0015182924,0.0021832946,0.0025517244,0.0022444543,0.0012526712,21,125,0,test
0.9851451,0.002140268,0.0045235897,0.0011331912,0.0022594354,0.0020222694,0.001682992,0.0010931258,22,1361,0,test
0.98580617,0.00300096,0.0018477996,0.0012380123,0.0018523348,0.0024504557,0.0021139323,0.0016904282,23,316,0,test
0.98058885,0.0027337794,0.007701906,0.0016476841,0.0018513832,0.0016273641,0.0026908084,0.0011583093,24,233,0,test
0.98580706,0.0022549427,0.002910854,0.001272359,0.002067855,0.0022629125,0.0019251558,0.0014989725,25,242,0,test
0.002114054,0.0021071741,0.98676306,0.0027002674,0.0027477948,0.00077580544,0.0018633292,0.0009285716,26,813,0,test
0.0016774242,0.0043335888,0.001984564,0.002686811,0.0012559582,0.0023259572,0.98290426,0.0028314579,27,546,0,test
0.98712754,0.0019413629,0.0021689113,0.0009952369,0.0022920591,0.0023033198,0.0019068861,0.0012646237,28,1987,0,test
0.0018172084,0.0019663253,0.9870983,0.002455847,0.0030874189,0.0007822762,0.0019265561,0.00086608174,29,372,0,test
0.0021716943,0.0027021088,0.98564374,0.0030505569,0.0022226507,0.00094801857,0.0022599187,0.0010013247,30,29,0,test
0.0020641398,0.0026142355,0.0014850614,0.0036266795,0.0014828269,0.0040723025,0.002437699,0.9822171,31,1182,1,test
