0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,index,split
0.0008236035,0.0029914903,0.00094173534,0.0031802533,0.0063101333,0.0022108306,0.0014676271,0.0037138173,0.009640881,0.925654,0.0024296385,0.0006151565,0.0013799479,0.0027456027,0.0032462026,0.0025313888,0.0043505696,0.0020081743,0.002025822,0.004495421,0.0052809035,0.002030828,0.009925955,0,test
0.01238142,0.25812498,0.0043381355,0.006345544,0.002954958,0.00231732,0.004544467,0.016712626,0.0036918009,0.004560201,0.003318066,0.005476621,0.0037755745,0.003876697,0.013352296,0.0026684469,0.0048311795,0.0045564035,0.0025949846,0.62128603,0.0024689857,0.013946777,0.0018765604,1,test
0.013028398,0.008149233,0.005299847,0.011504559,0.008566487,0.018327573,0.0067002224,0.45900005,0.01011818,0.006658633,0.015749097,0.0318714,0.009894037,0.073500216,0.013567042,0.04335114,0.010086543,0.004479292,0.0057689063,0.041016992,0.071662664,0.013817194,0.1178823,2,test
0.0025547869,0.006063092,0.0033098783,0.04681087,0.057795066,0.023187745,0.0045127426,0.005067609,0.0125895,0.51561505,0.0036048668,0.0037472458,0.019171495,0.0108474735,0.05066287,0.03054917,0.033571176,0.002922416,0.005678839,0.016027434,0.006943127,0.010367258,0.12840033,3,test
0.015392953,0.15553589,0.0029112424,0.0077206753,0.0017212637,0.0017414837,0.0062763314,0.023458429,0.0034051572,0.0033263324,0.0023960168,0.0037704024,0.0034815941,0.0031186286,0.011081866,0.003688379,0.0082862945,0.00278839,0.0014553908,0.72443867,0.0020756475,0.01021047,0.0017185204,4,test
0.0011730146,0.0011366924,0.0021664866,0.015529387,0.0021886616,0.0036318328,0.0068252743,0.0011588518,0.0013238114,0.00063588924,0.0057575,0.9201086,0.006793668,0.0045873276,0.0015763006,0.0010135379,0.0028371366,0.0018155104,0.0029460436,0.0030849976,0.0050052106,0.0024624951,0.006241731,5,test
0.0022324424,0.0038350283,0.005369535,0.018013462,0.009162343,0.03202707,0.0046277763,0.0016420311,0.003538851,0.012893362,0.012202253,0.30760148,0.072827995,0.102871664,0.0049311207,0.006390348,0.004533707,0.03572477,0.0675109,0.0039614565,0.015747825,0.006752182,0.2656024,6,test
0.006507709,0.0122538535,0.003669126,0.0030780027,0.006815528,0.009496829,0.0064989734,0.050575953,0.006925807,0.02337024,0.0073118177,0.017491149,0.011619144,0.16557516,0.012369591,0.05210557,0.0040851133,0.008064341,0.005296582,0.014654318,0.23562972,0.048161954,0.2884435,7,test
0.21083198,0.046754356,0.01384631,0.02065803,0.0037747836,0.0074637504,0.01716818,0.05906036,0.019126277,0.004527715,0.0048325937,0.009208718,0.005988154,0.0032140636,0.08729173,0.0057202205,0.03437383,0.10102049,0.061901588,0.23599185,0.02462344,0.012568503,0.010052997,8,test
0.0026541322,0.0010206111,0.0028150673,0.025725996,0.0027513858,0.8307222,0.00383446,0.0013102501,0.0031301817,0.0031579211,0.0028023107,0.020730399,0.011706104,0.006136412,0.005721603,0.0032325115,0.0010517433,0.009374131,0.010167351,0.0014550466,0.00096851034,0.002750318,0.04678133,9,test
