index,text,label,dataset,split,document_length,unique_words,token_count
1,"From what I understand, Fox was embarrassed they released a PG-13 Alien/Predator movie not so long ago. It was not well received by any means.Not exactly sure where to go next, seeing as they thought Anderson was the best director for the franchise and they had produced a true sci-fi gem, Fox turned to it's small, but knowledgeable group of monkeys for answers.These monkeys were by no means veterans of writing sci-fi flicks, but had seen Burton's Planet of the Apes remake and House of the Dead. Their first task: hire actors. Fox gave them a reasonable budget but the monkeys wanted to save the money. They hired fifteen TV actors shortly after.Now, the script. The monkeys wanted to save more of the budget so they wrote the movie themselves. Leaving out important aspects of the two franchises was the easy part. Thinking of great new lines for the general audience to remember years down the line - that was more difficult. They butted heads awhile and came up with a truly award-winning screenplay equipped with cliché characters, idiotic decisions an gaping plot holes.Fox was pleased thus far with the results but wanted to see what was to become of the centerpieces to the film - the aliens and predators. The monkeys again wanted to save money in the budget so they decided to trash the great robotics used in the otherwise terrible AvP original and go with the man-in-the-suit Alien seen in the old films. The actors playing the aliens had trouble fitting into the suits as they weren't properly sized by the monkeys so they jiggled their plastic heads throughout the film with honor. As for the predators, the monkeys decided one predator was enough this time around (again, saving budget) to fight the hordes of aliens that seemingly come out of nowhere. But what about the effects, you ask? Come on now, people. They may be monkeys but they clearly knew CGI would play a key role in the film. Without diving into the budget, the monkeys used a standard Final Cut program and cut and pasted some very nice fire and spark effects throughout. Putting red and green filters over the camera lens provided some excellent Predator visions.The setting was something the monkeys thought long and hard about. If this was to be on Earth, in Colorado of all places, they needed to make it realistic. This was where they admitted they might have made a mistake. See, the monkeys didn't have proper training in this department so they thought turning the lights off in the city and having the movie play out in the dead of night and in the rain was the right thing to do. They simply forgot people like to see the creatures instead of looking at shadows and rain the whole film. To add insult to injury, the monkeys accidentally filmed all the fight scenes incredibly close so no one could see what was fighting or who it was. But again, rookie mistake.The rating. Fox told the monkeys to make the movie R-rated. That was easy. Without showing how many of the injuries or deaths actually happened, the monkeys made a habit of showing the carnage after the fact. It was simple: the viewers got the gore they desired and the monkeys didn't have to film the majority of action shots involving that violence.Some of the actors originally had questions concerning the screenplay. Why does a blue liquid the Predator has endless amounts of magically disintegrate whatever he wants it to and nothing more than that? Why is an ex-convict driving around in a police car the entire movie? Why did the monkeys forget to show a full body shot of the Aliens? Why does a clock play a more memorable role than any of the main characters? The list of questions just kept growing but the monkeys ignored them and finished their masterpiece. Fox was thrilled with their work. So thrilled that they opened the movie nationwide on Christmas Day and even spent a few bucks advertising it the week before it came out. The monkeys had successfully made another installment in these cherished franchises.But some ask, what ever happened to the budget the monkeys forgot to use? They put it towards their next film: Aliens vs. Predator vs. Hulk Hogan. They knew the general public would be upset with the title but they have since released this statement:""To the people- do not worry about our upcoming film. It will be rated R and will have violence.""And everyone lived happily ever after. The end.",0.0,IMDb-1k,test,765,363,902
11,"The Polar Express. Director Robert Zemeckis, I love Back to the Future, Forrest Gump, Contact, and Who Framed Roger Rabbit (NO QUESTION MARK AFTER THAT MOVIE TITLE!!). And Tom Hanks, one of my favorite actors. The reviews of this movie were almost unanimous saying that this is an instant holiday classic. Ebert & Roeper give it two ENTHUSIASTIC thumbs up! Even Ebert's written review gave it a full four stars! Wow... OK... this I gotta see! But wait... the motion capture used looks really weird. Hmm... maybe I'm NOT so interested in seeing this anymore.""Well, you comin?"" says the train conductor to the boy in The Polar Express. The boy is reluctant at first, and the train begins on its course without him. The boy soon changes his mind and jumps aboard just in the nick of time. Now, most of you have probably decided to not jump aboard this train and wait for the TV Train or Rental Express (hee hee, I'm so witty and clever). I, on the other hand was like the boy who was skeptical at first, but jumped on to see what the fuss was all about. I just wasted $10 and two hours of my life. I can't even begin to explain the pain in my stomach. The Polar Express was so painful to sit through it's not even funny. There's no story. There's no pay off. You sit there through these series of events and you wonder ""is there any point to all this?"" It'd be one thing if the scenes were entertaining... but they're not.This movie is void of any emotion, any soul, any ounce of plausibility, and most of all: any fun. This movie is NOT FUN. And let's talk about the way these characters look for a second. Saying that it's the same technology (motion, I'm sorry, ""PERFORMANCE"" capture) used to make Gollum is a real shame because Gollum was Believable!!! Photo-realism just does not translate well in this medium. You're using animation, why not design the characters to be more expressive? Or why not just film it all with real actors? They certainly COULD have. We as people know all too well how we walk, talk, interact with things. Seeing it on the screen done unconvincingly is not impressive. Caricatures done convincingly is all the more believable, as The Incredibles has proved. The result of The Polar Express now is as if they took corpses of dead children and turned them into puppets. They're moving and talking, but where's the heart? Where's the soul? That's what we're seeing on the screen. UGH UGH UGH UGH UGH! This movie is so horrible! There's a scene early in the movie where the boy takes a girl's train ticket from her seat because she got up and left it. He wants to give it to her but you sit there going ""why??!"" Just leave it.. she's coming back! He of course loses the ticket and ""adventure"" ensues. And then there's a boy who's stuck in the back of the train all the time, and they bring him hot chocolate, but he can't come up and join the rest of the kids? And then there's this annoying ""know it all"" kid with the voice of a 35 year old. It's all so very disturbing. Oh and there's songs! One girl goes into the back of the train where the lonely kid is. He's singing a song to himself. And then she interrupts and joins in! They end the song as they're holding hands, looking into each others eyes as if they were lovers. Very awkward. I won't even go into details about the song about serving hot chocolate while waiters dance around the train. ""keep it hot keep it hot!"" The one scene where Tom Hanks slides on his knees with his arms stretched up in the air has to be one of the most memorably BAD scenes in the history of bad scenes. I have to stop now or I'll just kill myself. I need to watch something crappy to cleanse the palette. Yes... crappy is better than The Polar Express. ""The one thing about trains, it doesn't matter where you're going, what matters is deciding to get on.""Don't get on this one. For the love of God, I have decided for you! This is just another film taken from a children's book stretched incredibly thin into movie form. It happened with the Grinch and The Cat in the Hat and those were horrible also. But who can blame them? I bet if I took the book, The Berenstein Bears' Too Much Junk Food, and turned that into a feature film, it'd probably be pretty dull also. But at least... there'd be a story and a point, which is what The Polar Express is so lacking of.",0.0,IMDb-1k,test,788,343,1078
13,"Films belonging to the ""film noir"" genre usually contain similar elements: a ""deus ex machina"" plot twist that drives the main character headlong into bedlam, a pretty but psychotic girl, a handsome but psychotic thug, lots of money, lots of brutality, and usually a denouement in the desert. Think ""High Sierra"" or ""White Heat.""There is plenty of hard-boiled bad film noir out there. But when film noir is good, you can't take your eyes off the train wreck of human lives.It is this latter tradition that ""Blind Spot"" belongs to. The film follows Danny Alton, a troubled teenager (superbly played with depth, grace, emotional integrity and downright plaintiveness by James Franco, who throws himself completely into this role) who has fallen in love with the rough-edged streetkid, Darcy.From the beginning, you know this is going to be bad.Darcy invites Danny to his house. But the house is empty and for sale, and a bloody check for thousands of dollars is on the floor. Danny is robbed of his clothing and possessions, but uses the check to track down the suicidal April -- Darcy's other lover. When they reach Darcy's real home, they find Wayne -- a thug hunting Darcy down for the money he's stolen. Together, the three manage to locate Darcy in a dusty, run-down motel in the desert. But that's only the beginning of the tale, as plastic explosives, drugs, gun-running, a creepy funeral home, bisexual assassins and a lonely half-finished house in the desert bring events to an explosive head in an alley outside a tattoo parlor in Los Angeles.This film contains some of the best noir cinematography I have seen in years. In one scene, Danny races on foot through the desert to the half-finished house in the desert where he believes Darcy may have been taken that evening by mobsters. A very long shot with sharp lighting effects shows Danny -- arms and legs flailing, palpable fear etched on his face (visible even at this distance), dust cloud trailing behind him as the wind whips in his direction -- racing across the desert flats toward the house. The loneliness, the desperation, the despair Danny feels is shocking depicted. There are many such scenes in this film, wonderfully crafted by the experienced Maximo Munzi. This is Oscar-winning material.The editing, too, is just astounding. The film contains little moments where the characters gain insight into themselves or their situation. Bits of time, where memory and feeling come flooding back. At these times, quick montages of images flash across the screen. This is superb editing by director-writer-editor Stephan Woloszczuk. In one early montage, Danny describes the wondrous feelings he has now that Darcy has entered his life. Quick images of Danny's diary flash across the screen: the words ""4 life,"" ""lucky"" and ""safe"" stop momentarily, while page upon page of words, the contents of a human heart, race across the screen -- out of focus, too quick to read. It's like the flood of emotion Danny himself feels.The flood of images reveals something else about this film: Just how beautiful Nathaniel Waters' production design is. Darcy's quonset-hut home is the perfect match of high-tech and slob (a tribute to the attentiveness of set decorator Kimberly Foster). The stunning desert house scene is just outright creepy. The ruined motel where Darcy hides out can be found in any abandoned small town in America. The creepy (and astoundingly lit) funeral home where the plot takes a horrific turn mixes starkness with the pall of death hanging over the entire film. (It's too bad the film's lighting director is not credited.) This film has a superb production design, one that enhances every single frame and every actor's performance.That's the fourth element of this film which makes it grab you and hold on to you: The acting. James Franco is a superb actor. Even in ""Spider-Man"" -- where he was given practically nothing to do -- Franco showed that he understands human emotion like no other actor of his generation. He's no pretty-boy coasting on his good looks like Brad Pitt. Franco portrays deep emotion with full force. His performances contain pure human heart. Consider the scene in the phone booth outside the funeral home, where Danny collapses after telling April and Wayne that Darcy is dead. Lesser actors couldn't carry off the complete emotional breakdown of a human being. Franco does.Shawn Montgomery, in her first film, simply blows you away with her performance as the suicidal April. Deeply in love with Darcy, suffering from massive depression after having to bury alone her unborn child (after the fetus spontaneously aborts) in a perfume box in the woods, her life of luxury and perfection now a shambles: April is one of the best-drawn characters on film that I have ever seen. While Danny's relationship to Darcy is slowly teased out during the film, April's nervous breakdown is revealed only to the audience. Neither Danny nor Wayne seem particularly interested in her as a human being. April's despair when she realizes Danny has also been Darcy's lover is poignant and potent, even if it is truncated by the character's complete inability to feel any emotion for very long now. Montgomery brings to April a pathos that puts your heart through the wringer.Mark Patrick Gleason is given the hardest job in the film: Having to make something human and real out of the thug, Wayne. At first, Wayne is simply one of any number of violent, foul-mouthed, obsessed drug-pushers/gun-runners that appears in any number of films (from ""Kindergarten Cop"" to ""Beverly Hills Cop 2""). Gleason does very well with what he's given, but he doesn't quite get to where you feel much for Wayne. It's difficult to say whether this is Gleason's problem or the material's. There is one moment -- where Wayne (who is Darcy's brother, although neither Danny nor April know this) reads Danny's diary and realizes the sexual and emotional link between the two men -- where you just know that Wayne is going to go homophobic on Danny's ass. But the explosion never comes. (Thank god! Trite plots are death to film noir.) Once the revelation about the siblings comes at the film's end, the audience is fairly astounded to realize the depth of love and compassion Wayne truly felt for Darcy -- so deep that Wayne accepted Danny's homosexual love for his bisexual brother. But this all happens off-screen. Gleason is never given a chance to act out Wayne's feelings. It must have been very frustrating for the performer.The story is rather inventive, although the smuggling device seen at the end of the film is likely to remind viewers of ""Diamonds Are Forever"" (yes, James Bond). A traditional narrative voice-over (which proves Franco is as great a voice talent as he is a physical actor) provides terrific atmosphere, although it does tend to flow over into schmaltz a few times toward the end of the film (providing some unintentional laughter). Terrific locales play key visual roles in the film. Kudos to the location scout for finding such astounding buildings! The end of the film struck me as a bit rushed; not pat, but a little too firm for my film noir tastes.Now, I've seen audiences either hate or love ""Blind Spot."" Modern film audiences, exposed to the most extreme brutality and violence, often have little appreciation for the subtleties of film noir. My suggestion is to take a small group of friends who don't see despair, emotional collapse, desperation or depression as laughable. Take them to a small theater, where they can glory in the spectacle of the film's vision, but where their viewing won't be ruined by a crowd of people who won't recognize good film noir. Get them some popcorn (trust me, they'll be so engrossed they won't finish it), get them a soda, and let them be overwhelmed. Go some place bright and cheery afterward, to wash the grime and awfullness out of your soul. Because this film is so good at making you feel, you'll need that restorative.",1.0,IMDb-1k,test,1329,603,1771
135,"... I am left with little choice but to employ it at least once during the course of my review of Respiro. Among other things, what defines pretension is in my opinion a lack of emotional sincerity on the author's part. Respiro seems made with an all too contrived and self-aware intent to be artistic, symbolic, spiritual, provocative, metaphorical... mythical, even. But luckily for all true artists out there, a predisposed formula to achieve artistic beauty and depth doesn't exist. Stunning natural locations (yes, these remote parts of Southern Italy look exotic even to most other Italians), pretty actors and some amusing, gutsy, spontaneous performances by a handful of attractive children won't elevate a substanceless movie beyond a pretty succession of images. Yet this insincere and vain, and ultimately hollow movie aches to be art, succeeding only to a very limited extent, perhaps in some cases by accident. I'll admit that the conceptually pompous ending does have a certain visual poetry to it. However, it's my belief that this was achieved in ways that had more to do with the beauty of the Lampedusa sea and the strong symbolic power of bathing and water (connecting it to so much that's mythical, mystical, religious, archetypical, etc) than with Crialese's talent.Valeria Golino is gratingly histrionic and affected in her performance as Grazia. For a mentally unstable woman from a humble and provincial background, she sure has a fashionable wardrobe. Her flattering, floaty floral dresses and attractive, sun-kissed beach hair could have graced the pages of any Vogue summer edition. The fact she was a ""nutcase"" could in a way have been nothing but a fashionable addition to her trendy demeanour and look - that's how skin-deep her ""condition"" seemed to me. Golino's two-dimensional stereotype of the innocent, natural child-woman misunderstood and oppressed by her backward community was tiresome and irritating at worse, while leaving me unmoved and indifferent at best. I agree with the reviewer from London who wrote that mental illness is very badly served by cinema - during the course of the entire movie we never really get a sense of Grazia's illness and have no idea what is actually wrong with her (other than her being a tiresome stereotype of a ""free spirit""). We don't know why she's given injections and is required to see a specialist in Milan. This generic way of writing mental illness is one of the main tell-tale signs of the movie's overall shallowness.Another fairly insulting aspect of Respiro is the quaintification of its location. I struggled to figure out whether this movie was supposed to be set in the present day or the past, seeing as it aimed to make even an admittedly backward part of Italy (by comparison) seem a dozen times quainter and more conveniently primitive than it actually is. Again, this smacks of shallowness and a complete lack of sincerity on Crialese's part. Some non-Italian viewers will gleefully lap up the picturesque backwardness, the cliché of the possessive, macho Italian man as if it were common-place, so keen will they be to continue viewing my country as one culturally stranded sometime in the 1950s (the question I'd like to ask David Ferguson, the reviewer from Dallas, Texas is as follows: is YOUR country's mentality stuck in the 1950s? No? OK, then why should mine be?). Unfortunately for whoever still wishes to view Italy in such an anachronistic way, that aspect of Respiro is actually ridiculous and phoney even in the eyes of THIS Italian viewer. The subtly incestuous tension between Grazia and her eldest son was as tiresome and predictable as Fabrizio Bentivoglio's sexist-but-loving-husband routine. I especially loathed the scene in which Grazia joins her husband and male friend in some man-to-man banter over a bottle of beer, to her husband's macho embarrassment and displeasure. According to this movie, it isn't a woman's place to take part in a man's conversations. Ah, but our ""loveable"" ""free-spirit"" is too good for this place and doesn't understand the oppressive, unwritten rules of Lampedusan patriarchy! Not only does this scene depict something so fake, it should be enough on its own to discredit the entire movie's credibility. It also completely gets the wrong end of the stick of the culture it strives to depict, clearly showing that it was written without a clear understanding of the location or its population. I would challenge anyone who knows contemporary Italy to say otherwise.For a truly accomplished contemporary Italian filmmaker, one who in my opinion deserves to be listed among the greats of Italy's glorious cinematic past (which alas, isn't the shadow of its former self!), look no further than Gianni Amelio - especially Lamerica, Così Ridevano and his latest, La Stella Che Non C'è. Unlike most contemporary Italian cinema, sadly derivative and stagnant, Amelio's is a fresh and independently creative voice. Despite my scathing review of Respiro, I am now more than willing to believe that Crialese's latest Nuovomondo, now showing in Italian cinemas, will be a worthwhile one. I therefore look forwards to enjoying it, though it won't be overly shocking to me if I don't (considering my feelings for Respiro!).",0.0,IMDb-1k,test,833,452,1189
143,"I'm sick and tired of people complaining that Never Say Never Again is just a weak remake of Thunderball. Yes, that movie's influence is unmistakable, but the tremendous and almost universal inferiority of re-made films is reserved for such thoughtless and unintelligent films like the 1998 re-make of Psycho. While it's true that the opening theme of the twelfth (and Connery's last) Bond film is one of the worst of the entire series, the film itself still manages to stand on its own, despite many other weaknesses. Besides that, even the weak title song is made to blend pretty nicely with the closing dialogue in the film.Sure, Sean Connery was getting a little on in age when this movie was filmed (at least by James Bond standards), but there is plenty of evidence in the narrative that makes it clear that this was not exactly unknown to the filmmakers. James Bond is near retirement before he is handed his assignment, having spent most of recent time teaching, not doing, and there is even the tongue in cheek insistence from M that he pay more attention to his health, dieting and training and getting more exercise and whatnot. Besides, this is James Bond, remember? This guy is supposed to be some kind of super human, and all of his fans are getting all upset because he's got some gray hairs. When this guy retires at the end of the film, M sends poor `Small-Fawcett' (in a hilarious cameo from Rowan Atkinson) to tell Bond that without him, he worries about the safety of the free world, and all of you people can't get over the fact that he's not a sprightly young man anymore. Come on, Sean Connery could STILL play James Bond just as good as he ever could, or at least better than anyone else ever has been able to.The majority of the film deals with the elaborate plan to steal nuclear missiles and hold the world hostage (as Dr. Evil would say, `Oh hell, let's just do what we always do '), so there's clearly not much new there, but this is one of the Bond films that had the better one liners. There's the amusing scene where Bond is asked for a urine sample  `If you could just fill this beaker for me ' `From here?' There are a lot of good one-liners, but the sexual innuendos aimed at Mr. Bond are especially prevalent in this installment. But then later he happens to throw that very urine sample into a villain's face, making him scream as if his face were burning off. Not a very good attempt at comic relief, especially since this guy had been kicking Bond's ass with some sort of super-spring device that could cut through pretty much anything. And of course, Kim Basinger stars in this film as one of the best Bond girls of the entire series.It's no secret that Never Say Never Again has dated badly, and one of the things that has dated the worst is the special effects  with the one exception of the flying missiles, which were obviously fake but still impressive for 1982. The colored contact lens at the beginning of the film was totally without effect, and the laser watch was one of the worst things in the entire movie, second only to those damn sharks. Evidently, Fatima Blush put some sort of device on his scuba tank that attracted sharks (granted, they did have weird guiding mechanisms of their own), in a scene that more than likely inspired the classic line, `I have one simple request. And that is to have sharks with FRICKIN' laser beams attached to their heads!' And then, of course, there is the exploding hotel room scene which was redone in an episode of The Simpsons, and which was obviously followed by another obligatory and overly casual one-liner from James.The domination video game created by Largo, the film's villain, is an especially memorable scene, and the film also boasts what is probably the best motorcycle chase in the entire series (far to superior to the laughable one in Tomorrow Never Dies). But despite many strengths, the film's weaknesses are left clearer in the audience's mind at the end of the film due in large part to the anticlimactic underwater conclusion (one of the more obvious parts borrowed from Thunderball, and inferiorly recreated). Never mind the fact that Largo revealed some crucial information to Bond as he left him in the tower alive (Dr. Evil's brilliance, once again, `I'll just leave him there without actually witnessing his death and just assume everything went to plan. What?'), the climax of what is expected to be a fast-paced action film should never take place in a muted underwater atmosphere. All in all, Never Say Never Again ranks very highly on the James Bond scale, and Connery's wink at the end of the film (as well as the two closing lines) suggested at the time that he may still return for another turn as Bond. Clearly, this is no longer very likely, so we can only hope.",1.0,IMDb-1k,test,846,391,1054
178,"ALERT: This review contains major SPOILERS. Do not read on if you plan to see this film.Judging from the amount of votes this got (my vote was the fifth one) very few people know or care who Mimi Lesseos is. Well, back in the late 1980s, professional wrestling was pretty decent. An all-woman's federation called the Ladies Professional Wrestling Association opened. It was a great league, and Mimi Lesseos was one of the names on the roster. I always thought she was one of the best people the LPWA had in terms of ring skill and acting ability. Unfortunately, the LPWA closed down in the early 90s, so it only seemed natural for someone with as much talent as Mimi to start an acting career, right? But surely there was an alternative to stuff like this? This movie is really bad. As it was going along, I kept comparing it to an underrated movie called `Survivor Quest,' only this film lacks everything that made `Survivor Quest' enjoyable.As I started the tape, I went to fast forward through the preview to get to the meat of the tape. At first, I wasn't paying much attention, but then I realized that the preview was for a movie starring Mimi Lesseos. `Oh,' I thought, `here's another movie featuring Mimi to look for.' But as the preview dragged on, I became aware that is was a preview for .'Beyond Fear!' You know you're in trouble when the only preview at the beginning features the movie you are about to watch! The plot of this thing is pretty standard. Lesseos plays an ex-kickboxer that is living with the guilt of injuring an opponent/friend, so she focuses herself on her second career which she shares with her friend Sammy: being a wilderness guide. On this particular occasion, she gets a troop of three couples. Two of the couples are just there to take up space. You think that one couple, a Caucasian husband and a Korean wife, will be explored, as an issue appears between them halfway through the film, but it is ignored in favor of repeated jokes about bears in the woods, which consistently scares the Korean wife. The joke is funny the first time you hear it, but it certainly isn't by the ninth time they do it. The third couple is just painful to watch: it consists of Mr. and Mrs. Page. They trade insults back and forth, and Mr. Page uses his video camera for the art of voyeurism when he's not busy playing cruel jokes on his portly wife .just like your typical American couple! Before the hike, Mr. Page is spying on two stupid guys and their prostitute. One of them accidentally kills the prostitute and finds out Mr. Page taped it. So begins the peril, as the two guys track the group on their trip, and we wait .and wait .and wait .and wait for them to finally do something. When they do, it's a fiasco.You can't blame the cast. They try as hard as they can with the material they have to work with. The main culprit is director Robert F. Lyons, who needs to go back to playing bit parts and stay out of the director's chair. Lyons starts and stops scenes in such a sloppy, sudden matter that you start to think he was suffering from dyspepsia throughout the entire shoot. There's even one incompetent moment when a broad daylight scene with the thugs is slipped between some nighttime scenes. Then there is the sound department. The music and background noise completely overpower the dialogue so that you have to move your ear right next to your television's speaker. Don't bump your head on the screen! It isn't worth it to hear the poorly written lines. Speaking of poor writing, Lesseos gets some of the credit there as co-writer. The few interesting developments between characters are often abandoned for shots of the thugs or bad practical jokes. Early on, Lesseos knocks out a thug with a switchblade knife, so not once do you think they are in any danger from the two stupid thugs. When the crooks finally get their rear ends kicked by Lesseos in a well done and long fight, our cast all have a huge laugh together, despite the fact that one of them has been shot and is bleeding everywhere. Yes, everyone is happy in the end. Everyone except the poor souls witnessing the film, wishing for the good old glory days when Mimi performed in the wrestling ring. Zantara's score: 4 out of 10",0.0,IMDb-1k,test,748,370,952
279,"I have walked out of a Coen movie before and not quite known how to feel. The two best examples of that are The Big Lebowski and Fargo. Lebowski was so ridiculously original and so filled with strange humour that I had to like it. On the other hand, there were some unnecessary reveries with flying people and killer bowling balls that just didn't seem to fit the mold of the film. Still, I liked the film and now own a copy of it. Fargo made me howl with hysterics, sometimes I wasn't sure why I was laughing so hard that it made me cry, but nonetheless I was. There were many seemingly strange characters in Fargo, but upon further investigation, they were really just real people talking about real situations. That is why the man with the shovel ( or was it a broom ) was so side-splittingly funny when he was telling the police officer about some funny looking man down at the bar the other night. And that is also why the theater erupted in laughter when he then says that there are some funny looking clouds coming in. (I own a copy of this film too) The Coen's have a way of masking their film and their characters as being somewhat eccentric and perhaps a little off the wall. But if you look closer at some of those same characters that seem zany, you will always find that in some strange way, they all ring true. That is what is quite exceptional about O Brother Where Art Thou? This is a film that is out there. I mean it is not even in the same ballpark as a traditional film. I reviewed the film Shaft this past summer and in it I said that Shaft was an okay film that I have seen a thousand times before. But you can not say that about a Coen Brother's film and you most certainly can not say that about this one.This film has everything in it from a jail break, crooked southern politicians, muses, references to what I can only assume are historical figures, riverside baptisms, bank robberies, violence towards animals, singing flocks of religious fanatics, KKK, lynch mobs and so on. There are obviously many references to Homer's Odyssey in here as well, but I wouldn't know that because I have never read Homer's Odyssey or even knew one thing about it. Every other newspaper reviewer seems to know all about it and they think that this cynicism and almost spoof-like quality towards it makes the film that much better. Well coming from a guy who doesn't know anything about it, I can tell you that it is still an entertaining film. There were times when again, as is usual for a Coen film, I wasn't sure why I was entertained or laughing, but I was.This is a road picture where three men travel along the way to find a hidden treasure that Clooney says he has hidden to his two other cell mates. He has to take them along because they were also chained to him when they had their chance to escape.I like all the principal actors in the film and many of them are Coen cronies. It was nice to see Goodman again. It was nice to see Hunter and especially Turturro who seems to have a place in every Coen film. It's too bad they didn't find a place for Steve Buscemi but that is a different story all together. But back to Clooney. The man just has charisma. He is a one hell of an actor as well and here he is not quite as zany as the others but even he has his own idiosyncrasies. His work here is quite awesome and I really hope this shows that he is capable of playing any range of character.Now after heaping all this praise on the film, let me just say this as well. I didn't really enjoy the film at first. I found it to be quite tedious and a little boring. There were too many ideas in here and not enough care went into harnessing them for all what they were worth. But then the film began to grow on me. It took a while but it did grow on me. I don't think this is their best film, but it is still a good one and I am giving it a 8.5. But the reason that I do recommend this film is for one reason only.Every day you can go look into the paper and look at the films that are playing and say to yourself, seen it, seen it, oh, seen it last year, that is the same as this film and that is the same as that film. Most films have been recycled in some form or another. Not the Coen's films. They have not been recycled and if they have I don't know about it. That is reason enough to see something that they put out. Originality counts for a lot in my books. The Coens are original and they are good. And that is not common in todays cinema. Enjoy them while they are allowed to make films. Because you don't get vision like this in many films, so when you do, enjoy it!",1.0,IMDb-1k,test,841,328,1070
16,"As a singular character study , it 's perfect .",1.0,SST-2,test,6,6,13
17,What 's next ?,1.0,SST-2,test,2,2,7
18,"It is a film that will have people walking out halfway through , will encourage others to stand up and applaud , and will , undoubtedly , leave both camps engaged in a ferocious debate for years to come .",1.0,SST-2,test,33,29,44
