0,1,index,split
0.9862213,0.013778676,0,test
0.9857216,0.0142783625,1,test
0.00858935,0.9914106,2,test
0.008420651,0.9915794,3,test
0.98781943,0.012180585,4,test
0.9842757,0.015724309,5,test
0.016234964,0.98376507,6,test
0.9800602,0.019939728,7,test
0.005910256,0.9940897,8,test
0.008435091,0.99156487,9,test
0.9838673,0.016132707,10,test
0.008379126,0.9916209,11,test
0.008078206,0.9919218,12,test
0.9883531,0.0116469385,13,test
0.017986007,0.982014,14,test
0.9644444,0.035555627,15,test
0.00733691,0.99266315,16,test
0.65925854,0.34074146,17,test
0.010542419,0.98945767,18,test
0.9880378,0.011962238,19,test
0.9855398,0.014460228,20,test
0.014985242,0.98501474,21,test
0.007285511,0.99271446,22,test
0.007964712,0.9920353,23,test
0.9750406,0.024959411,24,test
0.0053695063,0.99463046,25,test
0.0076276143,0.9923724,26,test
0.04333855,0.9566614,27,test
0.9769189,0.023081167,28,test
0.9786556,0.021344364,29,test
0.0414497,0.9585503,30,test
0.9830292,0.016970826,31,test
0.9695451,0.030454908,32,test
0.009591272,0.99040866,33,test
0.00717992,0.9928201,34,test
0.011216899,0.98878306,35,test
0.011380793,0.9886192,36,test
0.97528243,0.02471752,37,test
0.5426096,0.45739046,38,test
0.0073472317,0.9926528,39,test
0.98602515,0.013974844,40,test
0.006765453,0.9932346,41,test
0.025239194,0.9747608,42,test
0.017161848,0.98283815,43,test
0.98045486,0.019545095,44,test
0.98521715,0.0147828525,45,test
0.33188796,0.66811204,46,test
0.98699945,0.013000602,47,test
0.98754555,0.012454391,48,test
0.006579329,0.99342066,49,test
0.89848506,0.101514876,50,test
0.008127496,0.9918725,51,test
0.9885909,0.011409046,52,test
0.8421575,0.15784247,53,test
0.81099606,0.18900397,54,test
0.010144278,0.98985577,55,test
0.00766586,0.9923341,56,test
0.97578764,0.024212446,57,test
0.006049294,0.9939507,58,test
0.9846341,0.015365918,59,test
0.9418486,0.05815141,60,test
0.985809,0.014190952,61,test
0.766715,0.23328504,62,test
0.98315614,0.016843824,63,test
0.024157807,0.97584224,64,test
0.006477204,0.99352276,65,test
0.9848321,0.015167851,66,test
0.028325623,0.9716744,67,test
0.00752232,0.9924777,68,test
0.98077387,0.01922612,69,test
