0,1,index,split
0.17674343,0.82325655,0,test
0.91711754,0.08288252,1,test
0.27379832,0.72620165,2,test
0.26271996,0.73728,3,test
0.7325532,0.26744682,4,test
0.10442965,0.8955704,5,test
0.12366301,0.876337,6,test
0.95448774,0.045512266,7,test
0.9548805,0.04511947,8,test
0.4230203,0.57697964,9,test
0.8636165,0.13638343,10,test
0.68609774,0.31390226,11,test
0.93239564,0.06760438,12,test
0.120448194,0.87955177,13,test
0.904096,0.09590399,14,test
0.9478258,0.05217426,15,test
0.9104771,0.089522906,16,test
0.40901107,0.59098893,17,test
0.23488654,0.7651135,18,test
0.90695095,0.09304907,19,test
0.21940388,0.7805961,20,test
0.11988413,0.88011587,21,test
0.13594878,0.86405116,22,test
0.096014194,0.90398586,23,test
0.17394333,0.82605666,24,test
0.16203935,0.83796066,25,test
0.3177586,0.68224144,26,test
0.9610929,0.038907096,27,test
0.16385141,0.83614856,28,test
0.11530833,0.8846917,29,test
0.19427632,0.80572367,30,test
0.9170763,0.08292366,31,test
0.22017395,0.7798261,32,test
0.931356,0.06864397,33,test
0.891568,0.10843207,34,test
0.390131,0.609869,35,test
0.5459062,0.45409384,36,test
0.50865644,0.4913436,37,test
0.11346439,0.8865356,38,test
0.6461594,0.35384065,39,test
0.12107135,0.8789287,40,test
0.11914779,0.88085216,41,test
0.17376906,0.82623094,42,test
0.113458626,0.88654137,43,test
0.3156202,0.6843798,44,test
0.124102876,0.87589717,45,test
0.7272055,0.27279449,46,test
0.13523093,0.8647691,47,test
0.10616194,0.8938381,48,test
0.12963597,0.87036407,49,test
0.9238773,0.07612273,50,test
0.2752023,0.7247977,51,test
0.94195825,0.058041826,52,test
0.9560213,0.043978706,53,test
0.47294363,0.52705634,54,test
0.099803396,0.9001966,55,test
0.13048925,0.86951077,56,test
0.6860934,0.31390658,57,test
0.88060075,0.11939931,58,test
0.13100371,0.86899626,59,test
0.72465813,0.2753419,60,test
0.91282105,0.08717896,61,test
0.9186535,0.081346475,62,test
0.11076506,0.88923496,63,test
0.15908583,0.84091413,64,test
0.10288109,0.89711887,65,test
0.14424703,0.855753,66,test
0.2130212,0.7869788,67,test
0.9572755,0.04272448,68,test
0.13825184,0.86174816,69,test
0.15360078,0.84639925,70,test
0.17352416,0.8264759,71,test
0.10556259,0.8944374,72,test
0.1382496,0.86175036,73,test
0.115203634,0.8847963,74,test
0.41982317,0.5801768,75,test
0.10000665,0.8999934,76,test
0.111391276,0.8886087,77,test
0.36804152,0.6319585,78,test
0.9459503,0.054049674,79,test
0.1055833,0.8944167,80,test
0.7443123,0.2556877,81,test
0.4895827,0.51041734,82,test
0.8720869,0.12791312,83,test
0.92664975,0.07335021,84,test
0.09038707,0.90961295,85,test
0.10404467,0.8959554,86,test
0.110827774,0.8891722,87,test
0.1258121,0.87418795,88,test
0.41832912,0.5816709,89,test
0.9188541,0.08114583,90,test
0.2524066,0.7475934,91,test
0.1363835,0.8636165,92,test
0.36630097,0.63369906,93,test
0.11775967,0.88224036,94,test
0.09294196,0.90705806,95,test
0.11575661,0.88424337,96,test
0.09874044,0.9012596,97,test
0.96476173,0.03523833,98,test
0.12345023,0.87654984,99,test
0.38017556,0.61982447,100,test
0.9422471,0.05775288,101,test
0.14246938,0.8575306,102,test
0.11498613,0.8850138,103,test
0.5830746,0.41692543,104,test
0.110719554,0.88928044,105,test
0.9221125,0.07788751,106,test
0.15360887,0.84639114,107,test
0.49008974,0.5099102,108,test
0.12095247,0.8790475,109,test
0.09387584,0.90612423,110,test
0.122457474,0.8775425,111,test
0.13377133,0.8662287,112,test
0.23333544,0.76666456,113,test
0.09782982,0.90217024,114,test
0.95103,0.048969958,115,test
0.2784433,0.7215567,116,test
0.098417915,0.90158206,117,test
0.15291667,0.84708333,118,test
0.7630569,0.23694308,119,test
0.52576053,0.47423944,120,test
0.9481339,0.05186605,121,test
0.10719313,0.8928069,122,test
0.11623271,0.8837673,123,test
0.65708447,0.3429156,124,test
0.1110299,0.8889701,125,test
0.12738995,0.87261003,126,test
0.8085154,0.19148457,127,test
0.8964402,0.10355981,128,test
0.69703937,0.30296063,129,test
0.10341576,0.8965842,130,test
0.10889976,0.8911002,131,test
0.3116656,0.68833447,132,test
0.2112003,0.7887997,133,test
0.37545827,0.62454176,134,test
0.14066093,0.8593391,135,test
0.13032953,0.86967045,136,test
0.36178666,0.63821334,137,test
0.27312383,0.72687614,138,test
0.15607019,0.84392977,139,test
0.10094658,0.8990534,140,test
0.9429233,0.05707666,141,test
0.9346106,0.06538942,142,test
0.3805346,0.6194654,143,test
0.10254838,0.89745164,144,test
0.116865486,0.88313454,145,test
0.9608363,0.039163735,146,test
0.10929155,0.8907085,147,test
0.9443253,0.05567472,148,test
0.13306981,0.8669302,149,test
0.11170699,0.88829297,150,test
0.10815887,0.8918412,151,test
0.10336347,0.89663655,152,test
0.9425055,0.057494547,153,test
0.11111385,0.88888615,154,test
0.12707108,0.8729289,155,test
0.15477988,0.8452201,156,test
