0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,index,identifier,chunk,split
0.005575715,0.013325564,0.034901623,0.6387671,0.011027747,0.008899429,0.027760806,0.0075089186,0.020062672,0.004496427,0.011316032,0.015513665,0.014676047,0.0027703005,0.012774058,0.0075538945,0.01215617,0.0026539601,0.013877993,0.01580767,0.0037604396,0.10759477,0.007219012,0,3561,0,test
0.0037084224,0.029745957,0.04377724,0.0364785,0.01818866,0.02072811,0.030967716,0.010785146,0.010377627,0.033574082,0.018248687,0.0053830477,0.008662193,0.022955751,0.07216389,0.018329576,0.044124357,0.042971205,0.0332114,0.042074893,0.0021565864,0.22679554,0.22459136,1,181,0,test
0.0072914436,0.007413242,0.009515491,0.005462362,0.0028367306,0.007469144,0.007339841,0.0023697037,0.0048266537,0.003740708,0.001952355,0.0041366257,0.0015787451,0.0015190493,0.88395256,0.003949702,0.003588642,0.01151267,0.0020828298,0.006140084,0.002245457,0.013605216,0.0054707113,2,2658,0,test
0.007080164,0.040775094,0.041271698,0.0057058986,0.04399277,0.0048709093,0.028803132,0.00407087,0.023438714,0.15997845,0.013762284,0.008190767,0.01600082,0.013071834,0.013481263,0.025977878,0.010826852,0.0072376886,0.014812495,0.006549154,0.24591814,0.19116928,0.07301386,3,3930,0,test
0.004500901,0.036175486,0.030754277,0.17982939,0.011961888,0.010229703,0.037620507,0.022454694,0.015886642,0.02407122,0.012480965,0.005107455,0.030704727,0.013140661,0.03461195,0.024758903,0.06203922,0.0063754325,0.02108321,0.11937176,0.0025377064,0.1783218,0.115981475,4,1824,0,test
0.46275654,0.055353206,0.064680845,0.0045596138,0.00714591,0.014496325,0.01697363,0.06696358,0.0067822626,0.0009782136,0.014215805,0.010827515,0.010989475,0.011861713,0.021315835,0.0050769458,0.015256661,0.0072080987,0.007102817,0.03248944,0.005613108,0.134395,0.022957442,5,245,0,test
0.0031225465,0.014052242,0.013817974,0.0043103634,0.7699598,0.0026483955,0.009672216,0.0016204525,0.0074634603,0.041793853,0.01035977,0.0028596085,0.0038920841,0.004649994,0.004205022,0.004456389,0.013246033,0.00943141,0.006500952,0.0058687613,0.006636851,0.037376948,0.022054804,6,1813,0,test
0.012263995,0.034681026,0.04956643,0.003957558,0.008295911,0.009297978,0.031313095,0.008398045,0.027779007,0.0044563203,0.019254815,0.008125948,0.006240781,0.536108,0.01002403,0.015663533,0.005071931,0.007520231,0.03426868,0.0070651122,0.0043722074,0.11301101,0.043264303,7,489,0,test
0.00867538,0.03751726,0.05881061,0.0044947583,0.009048685,0.0041393735,0.02626696,0.013596252,0.029274473,0.013087492,0.0154460715,0.006039228,0.009573817,0.40001023,0.011383411,0.039108023,0.0051351017,0.007111028,0.02298207,0.007339616,0.0054553347,0.13034517,0.13515958,8,2760,0,test
0.0048439642,0.0070988596,0.005959132,0.0017817664,0.0043760003,0.0031771539,0.005904897,0.0026209834,0.00400765,0.0023871253,0.91234785,0.002215137,0.0037114308,0.005849677,0.001251485,0.002238117,0.0024598495,0.003003906,0.0036352414,0.0029008293,0.0029003937,0.013151999,0.0021765963,9,1735,0,test
0.0021003212,0.025730478,0.011702742,0.003896196,0.008887101,0.0027646879,0.0140290465,0.0029938966,0.043667767,0.7306169,0.01938926,0.0033705488,0.004419134,0.0029269594,0.009447598,0.0073337955,0.0058919573,0.012388344,0.01021094,0.007396974,0.008716921,0.047750875,0.014367494,10,2781,0,test
0.006464134,0.032503337,0.020877331,0.008315583,0.007455267,0.0027474263,0.006711964,0.110597245,0.014946661,0.0025459009,0.0122883,0.002290097,0.004018596,0.0074131317,0.008671584,0.0039742086,0.0081761945,0.009240986,0.006463037,0.66171813,0.0025731658,0.054400206,0.0056074676,11,660,0,test
0.0056091556,0.04081481,0.029901164,0.005636737,0.01113758,0.0068012946,0.00919241,0.009644033,0.010778003,0.065779686,0.51919097,0.003987797,0.012322536,0.034643956,0.007341942,0.025032237,0.014115089,0.006972237,0.010561915,0.00821714,0.0043825204,0.07814339,0.07979335,12,3270,0,test
0.0048470832,0.009919583,0.0066387793,0.005852238,0.004868533,0.0024484678,0.004478775,0.0013854433,0.00206168,0.0026112357,0.0060811937,0.009800271,0.8878684,0.0021030428,0.0017810577,0.009323612,0.0024386267,0.0011406947,0.0068791118,0.0034791892,0.0018229745,0.017000197,0.0051698326,13,1344,0,test
0.0027976574,0.010034369,0.0122828875,0.017743059,0.0044216155,0.002277276,0.004183424,0.0019732676,0.0024958232,0.0032241356,0.0065360297,0.01144737,0.8387848,0.002451805,0.0021499782,0.014579745,0.0035456023,0.0014158469,0.017201481,0.0058881375,0.0012189009,0.023648335,0.009698501,14,1096,0,test
0.007854603,0.006413667,0.010388802,0.004755166,0.006358699,0.029718056,0.7554974,0.007420784,0.0551932,0.002054398,0.010382573,0.007888712,0.0035800682,0.012484635,0.004357104,0.011665784,0.0025297594,0.0034897863,0.009872986,0.0016413975,0.0026385575,0.03305389,0.010759961,15,3972,0,test
0.0194581,0.0780391,0.022053154,0.012326504,0.008825191,0.21226417,0.021667045,0.014777481,0.009349038,0.0023372422,0.025850574,0.010352331,0.007397961,0.0114849005,0.012870251,0.0045513054,0.0045173727,0.005586045,0.009929408,0.019267874,0.0066515733,0.44576347,0.034679916,16,1122,0,test
