test_performance,validation_performance,test_average_evaluation_runtime,checkpoint_epoch,random_state
0.9082921471718836,0.9128440366972477,0.00023923059009968876,1,37
0.8874244920373421,0.8922018348623854,0.00024327349361648014,1,38
0.8984074684239429,0.911697247706422,0.0002427644483470969,1,39
0.899505766062603,0.9151376146788991,0.0002337121361235483,1,40
0.9066447007138935,0.9105504587155964,0.00022341195598269217,1,41
0.9055464030752334,0.9243119266055045,0.00023467261865857799,1,42
0.9071938495332235,0.9174311926605505,0.00021911400612208425,1,43
0.900054914881933,0.9094036697247706,0.00022096898384240876,2,44
0.9011532125205931,0.911697247706422,0.0002242239669808184,1,45
0.9071938495332235,0.911697247706422,0.00023599092545318186,1,46
